N comp_time
1.000000000000000000e+01 2.359628677368164062e-03
1.600000000000000000e+01 2.005577087402343750e-03
2.600000000000000000e+01 2.158403396606445312e-03
4.200000000000000000e+01 2.735614776611328125e-03
6.800000000000000000e+01 4.188776016235351562e-03
1.110000000000000000e+02 7.486581802368164062e-03
1.790000000000000000e+02 1.769232749938964844e-02
2.910000000000000000e+02 5.161619186401367188e-02
4.710000000000000000e+02 1.130051612854003906e-01
7.630000000000000000e+02 4.066281318664550781e-01
1.235000000000000000e+03 8.788759708404541016e-01
2.000000000000000000e+03 3.692174196243286133e+00
