N five nine
8.000000000000000000e+00 2.031373974771881474e-01 2.564802270641227885e-02
1.400000000000000000e+01 6.568210638766328047e-02 3.113372545043426292e-03
2.400000000000000000e+01 2.277114898556975228e-02 3.944450930299049011e-04
4.300000000000000000e+01 7.247435233328589077e-03 4.076008968374332433e-05
7.600000000000000000e+01 2.355766856687601957e-03 4.334116862615704127e-06
1.350000000000000000e+02 7.540249675845437944e-04 4.449588500900334011e-07
2.380000000000000000e+02 2.440396439947629384e-04 4.664010408036289224e-08
4.190000000000000000e+02 7.901152657631664176e-05 4.891894759901805655e-09
7.380000000000000000e+02 2.551986795464207536e-05 5.145349392998588856e-10
1.300000000000000000e+03 8.233884379755936498e-06 6.100986753549210571e-11
