x y U
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.111111111111111049e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.222222222222222099e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.333333333333333148e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.444444444444444198e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.555555555555555802e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.666666666666666297e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.777777777777776791e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.888888888888888395e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.111111111111111049e-01 0.000000000000000000e+00
1.111111111111111049e-01 1.111111111111111049e-01 -2.305988505400614723e-03
2.222222222222222099e-01 1.111111111111111049e-01 -2.679746096916712280e-03
3.333333333333333148e-01 1.111111111111111049e-01 1.534179219589482546e-03
4.444444444444444198e-01 1.111111111111111049e-01 6.938765792144431163e-03
5.555555555555555802e-01 1.111111111111111049e-01 6.938765792144673157e-03
6.666666666666666297e-01 1.111111111111111049e-01 1.534179219590028767e-03
7.777777777777776791e-01 1.111111111111111049e-01 -2.679746096916185358e-03
8.888888888888888395e-01 1.111111111111111049e-01 -2.305988505400318085e-03
1.000000000000000000e+00 1.111111111111111049e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.222222222222222099e-01 0.000000000000000000e+00
1.111111111111111049e-01 2.222222222222222099e-01 -2.679746096916770393e-03
2.222222222222222099e-01 2.222222222222222099e-01 1.575960522227257479e-02
3.333333333333333148e-01 2.222222222222222099e-01 7.596981150187699650e-02
4.444444444444444198e-01 2.222222222222222099e-01 1.391694741291419346e-01
5.555555555555555802e-01 2.222222222222222099e-01 1.391694741291424064e-01
6.666666666666666297e-01 2.222222222222222099e-01 7.596981150187812060e-02
7.777777777777776791e-01 2.222222222222222099e-01 1.575960522227361563e-02
8.888888888888888395e-01 2.222222222222222099e-01 -2.679746096916197935e-03
1.000000000000000000e+00 2.222222222222222099e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.333333333333333148e-01 0.000000000000000000e+00
1.111111111111111049e-01 3.333333333333333148e-01 1.534179219589176151e-03
2.222222222222222099e-01 3.333333333333333148e-01 7.596981150187663567e-02
3.333333333333333148e-01 3.333333333333333148e-01 2.875598448395023654e-01
4.444444444444444198e-01 3.333333333333333148e-01 5.035687613577105592e-01
5.555555555555555802e-01 3.333333333333333148e-01 5.035687613577113364e-01
6.666666666666666297e-01 3.333333333333333148e-01 2.875598448395040863e-01
7.777777777777776791e-01 3.333333333333333148e-01 7.596981150187813447e-02
8.888888888888888395e-01 3.333333333333333148e-01 1.534179219589972606e-03
1.000000000000000000e+00 3.333333333333333148e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.444444444444444198e-01 0.000000000000000000e+00
1.111111111111111049e-01 4.444444444444444198e-01 6.938765792143748549e-03
2.222222222222222099e-01 4.444444444444444198e-01 1.391694741291407966e-01
3.333333333333333148e-01 4.444444444444444198e-01 5.035687613577098931e-01
4.444444444444444198e-01 4.444444444444444198e-01 8.729356498203304504e-01
5.555555555555555802e-01 4.444444444444444198e-01 8.729356498203315606e-01
6.666666666666666297e-01 4.444444444444444198e-01 5.035687613577117805e-01
7.777777777777776791e-01 4.444444444444444198e-01 1.391694741291425452e-01
8.888888888888888395e-01 4.444444444444444198e-01 6.938765792144645402e-03
1.000000000000000000e+00 4.444444444444444198e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.555555555555555802e-01 0.000000000000000000e+00
1.111111111111111049e-01 5.555555555555555802e-01 6.938765792143731202e-03
2.222222222222222099e-01 5.555555555555555802e-01 1.391694741291407411e-01
3.333333333333333148e-01 5.555555555555555802e-01 5.035687613577096711e-01
4.444444444444444198e-01 5.555555555555555802e-01 8.729356498203305614e-01
5.555555555555555802e-01 5.555555555555555802e-01 8.729356498203314496e-01
6.666666666666666297e-01 5.555555555555555802e-01 5.035687613577115584e-01
7.777777777777776791e-01 5.555555555555555802e-01 1.391694741291423787e-01
8.888888888888888395e-01 5.555555555555555802e-01 6.938765792144588156e-03
1.000000000000000000e+00 5.555555555555555802e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.666666666666666297e-01 0.000000000000000000e+00
1.111111111111111049e-01 6.666666666666666297e-01 1.534179219589052335e-03
2.222222222222222099e-01 6.666666666666666297e-01 7.596981150187634424e-02
3.333333333333333148e-01 6.666666666666666297e-01 2.875598448395019768e-01
4.444444444444444198e-01 6.666666666666666297e-01 5.035687613577102262e-01
5.555555555555555802e-01 6.666666666666666297e-01 5.035687613577108923e-01
6.666666666666666297e-01 6.666666666666666297e-01 2.875598448395034201e-01
7.777777777777776791e-01 6.666666666666666297e-01 7.596981150187766263e-02
8.888888888888888395e-01 6.666666666666666297e-01 1.534179219589765957e-03
1.000000000000000000e+00 6.666666666666666297e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.777777777777776791e-01 0.000000000000000000e+00
1.111111111111111049e-01 7.777777777777776791e-01 -2.679746096916941264e-03
2.222222222222222099e-01 7.777777777777776791e-01 1.575960522227221744e-02
3.333333333333333148e-01 7.777777777777776791e-01 7.596981150187645526e-02
4.444444444444444198e-01 7.777777777777776791e-01 1.391694741291412130e-01
5.555555555555555802e-01 7.777777777777776791e-01 1.391694741291416293e-01
6.666666666666666297e-01 7.777777777777776791e-01 7.596981150187742671e-02
7.777777777777776791e-01 7.777777777777776791e-01 1.575960522227311256e-02
8.888888888888888395e-01 7.777777777777776791e-01 -2.679746096916446434e-03
1.000000000000000000e+00 7.777777777777776791e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.888888888888888395e-01 0.000000000000000000e+00
1.111111111111111049e-01 8.888888888888888395e-01 -2.305988505400719240e-03
2.222222222222222099e-01 8.888888888888888395e-01 -2.679746096916939962e-03
3.333333333333333148e-01 8.888888888888888395e-01 1.534179219589119555e-03
4.444444444444444198e-01 8.888888888888888395e-01 6.938765792143938502e-03
5.555555555555555802e-01 8.888888888888888395e-01 6.938765792144128454e-03
6.666666666666666297e-01 8.888888888888888395e-01 1.534179219589556489e-03
7.777777777777776791e-01 8.888888888888888395e-01 -2.679746096916505848e-03
8.888888888888888395e-01 8.888888888888888395e-01 -2.305988505400476379e-03
1.000000000000000000e+00 8.888888888888888395e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.111111111111111049e-01 1.000000000000000000e+00 0.000000000000000000e+00
2.222222222222222099e-01 1.000000000000000000e+00 0.000000000000000000e+00
3.333333333333333148e-01 1.000000000000000000e+00 0.000000000000000000e+00
4.444444444444444198e-01 1.000000000000000000e+00 0.000000000000000000e+00
5.555555555555555802e-01 1.000000000000000000e+00 0.000000000000000000e+00
6.666666666666666297e-01 1.000000000000000000e+00 0.000000000000000000e+00
7.777777777777776791e-01 1.000000000000000000e+00 0.000000000000000000e+00
8.888888888888888395e-01 1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
