N five nine
8.000000000000000000e+00 2.677440643310546875e-04 1.382827758789062500e-04
1.100000000000000000e+01 1.151561737060546875e-04 1.194477081298828125e-04
1.700000000000000000e+01 2.634525299072265625e-04 1.375675201416015625e-04
2.500000000000000000e+01 1.451969146728515625e-04 1.609325408935546875e-04
3.700000000000000000e+01 2.150535583496093750e-04 2.353191375732421875e-04
5.400000000000000000e+01 3.206729888916015625e-04 3.526210784912109375e-04
8.000000000000000000e+01 4.808902740478515625e-04 6.327629089355468750e-04
1.180000000000000000e+02 1.028537750244140625e-03 1.711845397949218750e-03
1.740000000000000000e+02 2.023220062255859375e-03 3.156423568725585938e-03
2.560000000000000000e+02 2.317333221435546875e-02 2.481198310852050781e-02
