x y U
3.030303030303030387e-02 3.030303030303030387e-02 -6.749373017094889007e-05
6.060606060606060774e-02 3.030303030303030387e-02 -1.340018744598081872e-04
9.090909090909091161e-02 3.030303030303030387e-02 -1.987653552288835520e-04
1.212121212121212155e-01 3.030303030303030387e-02 -2.612836872511461951e-04
1.515151515151515194e-01 3.030303030303030387e-02 -3.212426267265275121e-04
1.818181818181818232e-01 3.030303030303030387e-02 -3.784215117185905572e-04
2.121212121212121271e-01 3.030303030303030387e-02 -4.326105500285315031e-04
2.424242424242424310e-01 3.030303030303030387e-02 -4.835492610436110993e-04
2.727272727272727071e-01 3.030303030303030387e-02 -5.308897906194991146e-04
3.030303030303030387e-01 3.030303030303030387e-02 -5.741851588349626036e-04
3.333333333333333703e-01 3.030303030303030387e-02 -6.129002529181162362e-04
3.636363636363636465e-01 3.030303030303030387e-02 -6.464416789856669392e-04
3.939393939393939226e-01 3.030303030303030387e-02 -6.742012164705790157e-04
4.242424242424242542e-01 3.030303030303030387e-02 -6.956066292287505729e-04
4.545454545454545858e-01 3.030303030303030387e-02 -7.101731144630101748e-04
4.848484848484848619e-01 3.030303030303030387e-02 -7.175488355619327220e-04
5.151515151515151381e-01 3.030303030303030387e-02 -7.175488355619300115e-04
5.454545454545454142e-01 3.030303030303030387e-02 -7.101731144630042116e-04
5.757575757575758013e-01 3.030303030303030387e-02 -6.956066292287439593e-04
6.060606060606060774e-01 3.030303030303030387e-02 -6.742012164705709926e-04
6.363636363636363535e-01 3.030303030303030387e-02 -6.464416789856578319e-04
6.666666666666667407e-01 3.030303030303030387e-02 -6.129002529181060447e-04
6.969696969696970168e-01 3.030303030303030387e-02 -5.741851588349510026e-04
7.272727272727272929e-01 3.030303030303030387e-02 -5.308897906194861042e-04
7.575757575757575690e-01 3.030303030303030387e-02 -4.835492610435980889e-04
7.878787878787878451e-01 3.030303030303030387e-02 -4.326105500285194684e-04
8.181818181818182323e-01 3.030303030303030387e-02 -3.784215117185797694e-04
8.484848484848485084e-01 3.030303030303030387e-02 -3.212426267265186216e-04
8.787878787878787845e-01 3.030303030303030387e-02 -2.612836872511393647e-04
9.090909090909091717e-01 3.030303030303030387e-02 -1.987653552288785918e-04
9.393939393939394478e-01 3.030303030303030387e-02 -1.340018744598047719e-04
9.696969696969697239e-01 3.030303030303030387e-02 -6.749373017094720956e-05
3.030303030303030387e-02 6.060606060606060774e-02 -1.340018744598120361e-04
6.060606060606060774e-02 6.060606060606060774e-02 -2.648442812852285356e-04
9.090909090909091161e-02 6.060606060606060774e-02 -3.886163573613873835e-04
1.212121212121212155e-01 6.060606060606060774e-02 -5.007215484332823820e-04
1.515151515151515194e-01 6.060606060606060774e-02 -5.962367399940406414e-04
1.818181818181818232e-01 6.060606060606060774e-02 -6.704919597387802577e-04
2.121212121212121271e-01 6.060606060606060774e-02 -7.197844921585981690e-04
2.424242424242424310e-01 6.060606060606060774e-02 -7.420932368541186593e-04
2.727272727272727071e-01 6.060606060606060774e-02 -7.376465340567067404e-04
3.030303030303030387e-01 6.060606060606060774e-02 -7.092153270078881263e-04
3.333333333333333703e-01 6.060606060606060774e-02 -6.620473517868775406e-04
3.636363636363636465e-01 6.060606060606060774e-02 -6.034185368692539025e-04
3.939393939393939226e-01 6.060606060606060774e-02 -5.418442555798842807e-04
4.242424242424242542e-01 6.060606060606060774e-02 -4.860538919533285963e-04
4.545454545454545858e-01 6.060606060606060774e-02 -4.438766336643354166e-04
4.848484848484848619e-01 6.060606060606060774e-02 -4.212064980876629983e-04
5.151515151515151381e-01 6.060606060606060774e-02 -4.212064980876586615e-04
