N dof five nine
8.000000000000000000e+00 6.400000000000000000e+01 1.483281232685405016e-01 1.876937666710211741e-03
1.100000000000000000e+01 1.210000000000000000e+02 8.051938498377560205e-02 7.498524627056001425e-04
1.700000000000000000e+01 2.890000000000000000e+02 3.490233548059120533e-02 1.676004668987283737e-04
2.500000000000000000e+01 6.250000000000000000e+02 1.655649348548224320e-02 4.022638366423740807e-05
3.700000000000000000e+01 1.369000000000000000e+03 7.711896742828509843e-03 8.994680949651701082e-06
5.400000000000000000e+01 2.916000000000000000e+03 3.672814460053212479e-03 2.068016228738807482e-06
8.000000000000000000e+01 6.400000000000000000e+03 1.691455387370335373e-03 4.415182846068866870e-07
1.180000000000000000e+02 1.392400000000000000e+04 7.832673992100785488e-04 9.496420330110090080e-08
1.740000000000000000e+02 3.027600000000000000e+04 3.620951649077354113e-04 2.032331069742672798e-08
2.560000000000000000e+02 6.553600000000000000e+04 1.678742456206218088e-04 4.371248284291599098e-09
