x y U
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.761904761904761640e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.523809523809523281e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.428571428571428492e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.904761904761904656e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.380952380952380820e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.857142857142856984e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.333333333333333148e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.809523809523809312e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.285714285714285476e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.761904761904761640e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.238095238095237249e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.714285714285713969e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.190476190476190688e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.666666666666666297e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.142857142857141906e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.619047619047618625e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.095238095238095344e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.571428571428570953e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.047619047619046562e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.523809523809523281e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.761904761904761640e-02 0.000000000000000000e+00
4.761904761904761640e-02 4.761904761904761640e-02 -1.382750809179061884e-05
9.523809523809523281e-02 4.761904761904761640e-02 -2.523579826801929788e-05
1.428571428571428492e-01 4.761904761904761640e-02 -2.799624208332995577e-05
1.904761904761904656e-01 4.761904761904761640e-02 -1.395441604453505794e-05
2.380952380952380820e-01 4.761904761904761640e-02 2.334157949208149303e-05
2.857142857142856984e-01 4.761904761904761640e-02 8.487545741431080416e-05
3.333333333333333148e-01 4.761904761904761640e-02 1.639800727256556694e-04
3.809523809523809312e-01 4.761904761904761640e-02 2.468853789040337103e-04
4.285714285714285476e-01 4.761904761904761640e-02 3.160898264928177362e-04
4.761904761904761640e-01 4.761904761904761640e-02 3.554982813250657722e-04
5.238095238095237249e-01 4.761904761904761640e-02 3.554982813250620317e-04
5.714285714285713969e-01 4.761904761904761640e-02 3.160898264928068942e-04
6.190476190476190688e-01 4.761904761904761640e-02 2.468853789040192362e-04
6.666666666666666297e-01 4.761904761904761640e-02 1.639800727256434992e-04
7.142857142857141906e-01 4.761904761904761640e-02 8.487545741430199502e-05
7.619047619047618625e-01 4.761904761904761640e-02 2.334157949207482519e-05
8.095238095238095344e-01 4.761904761904761640e-02 -1.395441604453872559e-05
8.571428571428570953e-01 4.761904761904761640e-02 -2.799624208333151092e-05
9.047619047619046562e-01 4.761904761904761640e-02 -2.523579826801852877e-05
9.523809523809523281e-01 4.761904761904761640e-02 -1.382750809178946179e-05
1.000000000000000000e+00 4.761904761904761640e-02 0.000000000000000000e+00
0.000000000000000000e+00 9.523809523809523281e-02 0.000000000000000000e+00
4.761904761904761640e-02 9.523809523809523281e-02 -2.523579826805467336e-05
9.523809523809523281e-02 9.523809523809523281e-02 -1.566747679146122607e-05
1.428571428571428492e-01 9.523809523809523281e-02 1.150848853141982377e-04
1.904761904761904656e-01 9.523809523809523281e-02 4.776504923812901820e-04
2.380952380952380820e-01 9.523809523809523281e-02 1.155890127926270184e-03
2.857142857142856984e-01 9.523809523809523281e-02 2.156047250193396728e-03
3.333333333333333148e-01 9.523809523809523281e-02 3.378334663511690667e-03
3.809523809523809312e-01 9.523809523809523281e-02 4.625963476761995631e-03
4.285714285714285476e-01 9.523809523809523281e-02 5.652469883844966209e-03
4.761904761904761640e-01 9.523809523809523281e-02 6.232730962237948737e-03
5.238095238095237249e-01 9.523809523809523281e-02 6.232730962237940063e-03
5.714285714285713969e-01 9.523809523809523281e-02 5.652469883844941055e-03
6.190476190476190688e-01 9.523809523809523281e-02 4.625963476761964406e-03
6.666666666666666297e-01 9.523809523809523281e-02 3.378334663511666815e-03
7.142857142857141906e-01 9.523809523809523281e-02 2.156047250193380248e-03
7.619047619047618625e-01 9.523809523809523281e-02 1.155890127926257607e-03
8.095238095238095344e-01 9.523809523809523281e-02 4.776504923812843273e-04
8.571428571428570953e-01 9.523809523809523281e-02 1.150848853141951342e-04
9.047619047619046562e-01 9.523809523809523281e-02 -1.566747679145918642e-05
9.523809523809523281e-01 9.523809523809523281e-02 -2.523579826805197302e-05
1.000000000000000000e+00 9.523809523809523281e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.428571428571428492e-01 0.000000000000000000e+00
4.761904761904761640e-02 1.428571428571428492e-01 -2.799624208338011706e-05
9.523809523809523281e-02 1.428571428571428492e-01 1.150848853141893472e-04
1.428571428571428492e-01 1.428571428571428492e-01 8.432979028421763593e-04
1.904761904761904656e-01 1.428571428571428492e-01 2.684495406264727005e-03
2.380952380952380820e-01 1.428571428571428492e-01 6.035960893896972872e-03
2.857142857142856984e-01 1.428571428571428492e-01 1.092193180866063949e-02
3.333333333333333148e-01 1.428571428571428492e-01 1.685885705512342111e-02
3.809523809523809312e-01 1.428571428571428492e-01 2.289968206221956390e-02
4.285714285714285476e-01 1.428571428571428492e-01 2.786096084414110829e-02
4.761904761904761640e-01 1.428571428571428492e-01 3.066285378586223673e-02
5.238095238095237249e-01 1.428571428571428492e-01 3.066285378586221938e-02
5.714285714285713969e-01 1.428571428571428492e-01 2.786096084414107360e-02
6.190476190476190688e-01 1.428571428571428492e-01 2.289968206221952227e-02
6.666666666666666297e-01 1.428571428571428492e-01 1.685885705512338642e-02
7.142857142857141906e-01 1.428571428571428492e-01 1.092193180866061694e-02
7.619047619047618625e-01 1.428571428571428492e-01 6.035960893896958127e-03
8.095238095238095344e-01 1.428571428571428492e-01 2.684495406264719632e-03
8.571428571428570953e-01 1.428571428571428492e-01 8.432979028421726730e-04
9.047619047619046562e-01 1.428571428571428492e-01 1.150848853141921933e-04
9.523809523809523281e-01 1.428571428571428492e-01 -2.799624208337634268e-05
1.000000000000000000e+00 1.428571428571428492e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.904761904761904656e-01 0.000000000000000000e+00
4.761904761904761640e-02 1.904761904761904656e-01 -1.395441604458049448e-05
9.523809523809523281e-02 1.904761904761904656e-01 4.776504923813113240e-04
1.428571428571428492e-01 1.904761904761904656e-01 2.684495406264780348e-03
1.904761904761904656e-01 1.904761904761904656e-01 8.145977610529429522e-03
2.380952380952380820e-01 1.904761904761904656e-01 1.801798226414209544e-02
2.857142857142856984e-01 1.904761904761904656e-01 3.236590175546579656e-02
3.333333333333333148e-01 1.904761904761904656e-01 4.977242813081719092e-02
3.809523809523809312e-01 1.904761904761904656e-01 6.746782344019675026e-02
4.285714285714285476e-01 1.904761904761904656e-01 8.199350381250404551e-02
4.761904761904761640e-01 1.904761904761904656e-01 9.019473178862336127e-02
5.238095238095237249e-01 1.904761904761904656e-01 9.019473178862336127e-02
5.714285714285713969e-01 1.904761904761904656e-01 8.199350381250401776e-02
6.190476190476190688e-01 1.904761904761904656e-01 6.746782344019669475e-02
6.666666666666666297e-01 1.904761904761904656e-01 4.977242813081717704e-02
7.142857142857141906e-01 1.904761904761904656e-01 3.236590175546578962e-02
7.619047619047618625e-01 1.904761904761904656e-01 1.801798226414208504e-02
8.095238095238095344e-01 1.904761904761904656e-01 8.145977610529426052e-03
8.571428571428570953e-01 1.904761904761904656e-01 2.684495406264776011e-03
9.047619047619046562e-01 1.904761904761904656e-01 4.776504923813136008e-04
9.523809523809523281e-01 1.904761904761904656e-01 -1.395441604457709279e-05
1.000000000000000000e+00 1.904761904761904656e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.380952380952380820e-01 0.000000000000000000e+00
4.761904761904761640e-02 2.380952380952380820e-01 2.334157949203661723e-05
9.523809523809523281e-02 2.380952380952380820e-01 1.155890127926294687e-03
1.428571428571428492e-01 2.380952380952380820e-01 6.035960893897037056e-03
1.904761904761904656e-01 2.380952380952380820e-01 1.801798226414209891e-02
2.380952380952380820e-01 2.380952380952380820e-01 3.961799007613750478e-02
2.857142857142856984e-01 2.380952380952380820e-01 7.097328842443463570e-02
3.333333333333333148e-01 2.380952380952380820e-01 1.089885310254265632e-01
3.809523809523809312e-01 2.380952380952380820e-01 1.476206673530236491e-01
4.285714285714285476e-01 2.380952380952380820e-01 1.793261436475037385e-01
4.761904761904761640e-01 2.380952380952380820e-01 1.972251575517944000e-01
5.238095238095237249e-01 2.380952380952380820e-01 1.972251575517944000e-01
5.714285714285713969e-01 2.380952380952380820e-01 1.793261436475036552e-01
6.190476190476190688e-01 2.380952380952380820e-01 1.476206673530235935e-01
6.666666666666666297e-01 2.380952380952380820e-01 1.089885310254265632e-01
7.142857142857141906e-01 2.380952380952380820e-01 7.097328842443466346e-02
7.619047619047618625e-01 2.380952380952380820e-01 3.961799007613751866e-02
8.095238095238095344e-01 2.380952380952380820e-01 1.801798226414210585e-02
8.571428571428570953e-01 2.380952380952380820e-01 6.035960893897037056e-03
9.047619047619046562e-01 2.380952380952380820e-01 1.155890127926296205e-03
9.523809523809523281e-01 2.380952380952380820e-01 2.334157949203731857e-05
1.000000000000000000e+00 2.380952380952380820e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.857142857142856984e-01 0.000000000000000000e+00
4.761904761904761640e-02 2.857142857142856984e-01 8.487545741427876599e-05
9.523809523809523281e-02 2.857142857142856984e-01 2.156047250193430555e-03
1.428571428571428492e-01 2.857142857142856984e-01 1.092193180866073664e-02
1.904761904761904656e-01 2.857142857142856984e-01 3.236590175546578962e-02
2.380952380952380820e-01 2.857142857142856984e-01 7.097328842443466346e-02
2.857142857142856984e-01 2.857142857142856984e-01 1.269840832985269785e-01
3.333333333333333148e-01 2.857142857142856984e-01 1.948704706010625232e-01
3.809523809523809312e-01 2.857142857142856984e-01 2.638461058271094895e-01
4.285714285714285476e-01 2.857142857142856984e-01 3.204486634671736556e-01
4.761904761904761640e-01 2.857142857142856984e-01 3.524013272770601946e-01
5.238095238095237249e-01 2.857142857142856984e-01 3.524013272770601946e-01
5.714285714285713969e-01 2.857142857142856984e-01 3.204486634671736556e-01
6.190476190476190688e-01 2.857142857142856984e-01 2.638461058271094895e-01
6.666666666666666297e-01 2.857142857142856984e-01 1.948704706010625787e-01
7.142857142857141906e-01 2.857142857142856984e-01 1.269840832985270340e-01
7.619047619047618625e-01 2.857142857142856984e-01 7.097328842443470509e-02
8.095238095238095344e-01 2.857142857142856984e-01 3.236590175546581044e-02
8.571428571428570953e-01 2.857142857142856984e-01 1.092193180866074184e-02
9.047619047619046562e-01 2.857142857142856984e-01 2.156047250193426652e-03
