N five nine
8.000000000000000000e+00 1.394748687744140625e-04 9.703636169433593750e-05
1.400000000000000000e+01 1.051425933837890625e-04 1.101493835449218750e-04
2.400000000000000000e+01 1.289844512939453125e-04 1.282691955566406250e-04
4.300000000000000000e+01 2.436637878417968750e-04 2.567768096923828125e-04
7.600000000000000000e+01 5.366802215576171875e-04 5.660057067871093750e-04
1.350000000000000000e+02 1.600742340087890625e-03 1.819133758544921875e-03
2.380000000000000000e+02 1.631736755371093750e-02 1.642346382141113281e-02
4.190000000000000000e+02 1.223635673522949219e-02 1.275134086608886719e-02
7.380000000000000000e+02 2.489190101623535156e-01 2.488877773284912109e-01
1.300000000000000000e+03 8.385384082794189453e-01 8.438110351562500000e-01
