UMR-M UMR-ED UMR-EC AMRE-M AMRE-ED AMRE-EC AMRS-M AMRS-ED AMRS-EC AMRT-M AMRT-ED AMRT-EC
3.000000000000000000e+00 1.571531537763774411e+00 1.576781780792640975e+00 3.000000000000000000e+00 1.571531537763774411e+00 1.576781780792640975e+00 3.000000000000000000e+00 1.571531537763774411e+00 1.576781780792640975e+00 3.000000000000000000e+00 1.571531537763774411e+00 1.576781780792640975e+00
4.000000000000000000e+00 9.546343675423911435e-02 9.574166698638378326e-02 5.000000000000000000e+00 1.309520092168137972e-01 1.312309806434161508e-01 4.000000000000000000e+00 8.282129623817823250e-01 8.418113323008781235e-01 4.000000000000000000e+00 8.282129623817823250e-01 8.418113323008781235e-01
5.000000000000000000e+00 1.309520092168137972e-01 1.312309806434161508e-01 7.000000000000000000e+00 1.260079532840077121e-01 1.160827470075977558e-01 5.000000000000000000e+00 1.309520092168137972e-01 1.312309806434161508e-01 5.000000000000000000e+00 1.309520092168137972e-01 1.312309806434161508e-01
6.000000000000000000e+00 7.579321051732110237e-02 7.592240245513669217e-02 9.000000000000000000e+00 2.831980696431299002e-02 2.834995406099613535e-02 6.000000000000000000e+00 1.496357153979277210e-01 1.457335256951695357e-01 6.000000000000000000e+00 1.106479970001114227e-01 1.088393287020882755e-01
7.000000000000000000e+00 5.148629472738428664e-02 5.155940071848569284e-02 1.100000000000000000e+01 2.666125886626705827e-02 2.307970533987808298e-02 7.000000000000000000e+00 1.489701041987545604e-01 1.528672397365295199e-01 7.000000000000000000e+00 1.260079532840077121e-01 1.160827470075977558e-01
8.000000000000000000e+00 3.731172535261783468e-02 3.735712567957541475e-02 1.300000000000000000e+01 3.950978616526747839e-02 3.926521822653501054e-02 8.000000000000000000e+00 1.689978515404989001e-01 1.758549182878345607e-01 8.000000000000000000e+00 8.442798434187462342e-02 8.791798842184261886e-02
9.000000000000000000e+00 2.831980696431299002e-02 2.834995406099613535e-02 1.500000000000000000e+01 4.340527313865098075e-02 4.219944618720713331e-02 9.000000000000000000e+00 1.872753537952862035e-01 1.982522998637775979e-01 9.000000000000000000e+00 2.831980696431299002e-02 2.834995406099613535e-02
1.000000000000000000e+01 2.224519765515521608e-02 2.226624482798566368e-02 1.700000000000000000e+01 7.773235339511649564e-03 7.571249105010913541e-03 1.000000000000000000e+01 1.305806093785095434e-01 1.372007080440425797e-01 1.000000000000000000e+01 5.189508833197863796e-02 5.030379925251746154e-02
1.100000000000000000e+01 1.794386554025420577e-02 1.795914417337393654e-02 1.900000000000000000e+01 1.011487633506542687e-02 9.940511859041063075e-03 1.100000000000000000e+01 7.240208245253032526e-02 7.194703054580101065e-02 1.100000000000000000e+01 7.240208245253032526e-02 7.194703054580101065e-02
1.200000000000000000e+01 1.478444257861346277e-02 1.479588606368897712e-02 2.100000000000000000e+01 7.886963150038341433e-03 7.780659134979653856e-03 1.200000000000000000e+01 7.598514483011338527e-02 7.571409427261532876e-02 1.200000000000000000e+01 5.568107193821060508e-02 5.541246205105261613e-02
