x U
0.000000000000000000e+00 8.208499862390294943e-02
6.250000000000000000e-02 1.476663867317312140e-01
1.250000000000000000e-01 2.458330842740010791e-01
1.875000000000000000e-01 3.787007370805299811e-01
2.500000000000000000e-01 5.396113714463407485e-01
3.125000000000000000e-01 7.109763305879129858e-01
3.437500000000000000e-01 7.905393477506026390e-01
3.750000000000000000e-01 8.622728934936170209e-01
4.062500000000000000e-01 9.225210893826498726e-01
4.375000000000000000e-01 9.680257336215656316e-01
5.000000000000000000e-01 1.007088233621565188e+00
5.625000000000000000e-01 9.680257336215648545e-01
5.937500000000000000e-01 9.225210893826487624e-01
6.250000000000000000e-01 8.622728934936155776e-01
6.562500000000000000e-01 7.905393477506008626e-01
6.875000000000000000e-01 7.109763305879108763e-01
7.500000000000000000e-01 5.396113714463381950e-01
8.125000000000000000e-01 3.787007370805269835e-01
8.750000000000000000e-01 2.458330842739976929e-01
9.375000000000000000e-01 1.476663867317274392e-01
1.000000000000000000e+00 8.208499862389879997e-02
