x U u
0.000000000000000000e+00 1.000000000004699574e+00 9.999999999999998890e-01
2.004008016032063962e-03 9.996680080341147079e-01 9.996680080028936821e-01
4.008016032064127925e-03 9.993400398414885588e-01 9.993400397306894112e-01
6.012024048096191453e-03 9.990161025199767453e-01 9.990161022765554621e-01
8.016032064128255849e-03 9.986962025262121623e-01 9.986962020971457132e-01
1.002004008016032024e-02 9.983803456805570020e-01 9.983803450128517776e-01
1.202404809619238291e-02 9.980685371674558048e-01 9.980685362081563872e-01
1.402805611222444730e-02 9.977607815358899845e-01 9.977607802320866970e-01
1.603206412825651170e-02 9.974570826999322737e-01 9.974570809987702846e-01
1.803607214428857436e-02 9.971574439394023104e-01 9.971574417880896268e-01
2.004008016032064049e-02 9.968618679006224781e-01 9.968618652464384944e-01
2.204408817635270315e-02 9.965703565972742206e-01 9.965703533875783782e-01
2.404809619238476581e-02 9.962829114113552764e-01 9.962829075935947243e-01
2.605210420841683194e-02 9.959995330942360559e-01 9.959995286159546435e-01
2.805611222444889460e-02 9.957202217678170486e-01 9.957202165766630975e-01
3.006012024048096073e-02 9.954449769257850411e-01 9.954449709695200044e-01
3.206412825651302340e-02 9.951737974349693650e-01 9.951737906614760432e-01
3.406813627254508953e-02 9.949066815367978434e-01 9.949066738940888222e-01
3.607214428857714872e-02 9.946436268488515475e-01 9.946436182850771912e-01
3.807615230460921485e-02 9.943846303665185848e-01 9.943846208299749190e-01
4.008016032064128098e-02 9.941296884647461418e-01 9.941296779038838460e-01
4.208416833667334017e-02 9.938787968998916700e-01 9.938787852633235165e-01
4.408817635270540630e-02 9.936319508116712163e-01 9.936319380481807295e-01
4.609218436873747243e-02 9.933891447252066742e-01 9.933891307837557916e-01
4.809619238476953162e-02 9.931503725531687365e-01 9.931503573829063569e-01
5.010020040080159776e-02 9.929156275980191015e-01 9.929156111482890790e-01
5.210420841683366389e-02 9.926849025543479366e-01 9.926848847746965188e-01
5.410821643286573002e-02 9.924581895113077090e-01 9.924581703514923081e-01
5.611222444889778921e-02 9.922354799551439397e-01 9.922354593651407928e-01
5.811623246492985534e-02 9.920167647718206583e-01 9.920167427018331541e-01
6.012024048096192147e-02 9.918020342497420039e-01 9.918020106502074551e-01
6.212424849699398066e-02 9.915912780825673067e-01 9.915912529041659429e-01
6.412825651302604679e-02 9.913844853721210937e-01 9.913844585657833886e-01
6.613226452905811292e-02 9.911816446313975737e-01 9.911816161483122389e-01
6.813627254509017905e-02 9.909827437876572720e-01 9.909827135792786956e-01
7.014028056112224518e-02 9.907877701856175889e-01 9.907877382036736069e-01
7.214428857715429744e-02 9.905967105907345083e-01 9.905966767872340650e-01
7.414829659318636357e-02 9.904095511925774531e-01 9.904095155198184841e-01
7.615230460921842970e-02 9.902262776082948470e-01 9.902262400188714953e-01
7.815631262525049583e-02 9.900468748861699364e-01 9.900468353329805460e-01
8.016032064128256196e-02 9.898713275092682062e-01 9.898712859455219837e-01
8.216432865731462809e-02 9.896996193991725033e-01 9.896995757783979553e-01
8.416833667334668034e-02 9.895317339198089757e-01 9.895316881958603483e-01
8.617234468937874647e-02 9.893676538813603871e-01 9.893676060084253265e-01
8.817635270541081260e-02 9.892073615442671386e-01 9.892073114768743514e-01
9.018036072144287874e-02 9.890508386233165528e-01 9.890507863163423563e-01
9.218436873747494487e-02 9.888980662918170905e-01 9.888980117004930737e-01
9.418837675350701100e-02 9.887490251858596091e-01 9.887489682657795154e-01
9.619238476953906325e-02 9.886036954086636630e-01 9.886036361157904961e-01
9.819639278557112938e-02 9.884620565350076271e-01 9.884619948256804234e-01
1.002004008016031955e-01 9.883240876157433075e-01 9.883240234466842411e-01
1.022044088176352616e-01 9.881897671823929308e-01 9.881897005107143084e-01
1.042084168336673278e-01 9.880590732518294006e-01 9.880590040350402115e-01
1.062124248496993939e-01 9.879319833310372667e-01 9.879319115270500662e-01
1.082164328657314600e-01 9.878084744219547408e-01 9.878083999890922007e-01
1.102204408817635123e-01 9.876885230263965365e-01 9.876884459233981062e-01
1.122244488977955784e-01 9.875721051510548687e-01 9.875720253370833257e-01
1.142284569138276445e-01 9.874591963125796124e-01 9.874591137472276126e-01
1.162324649298597107e-01 9.873497715427359545e-01 9.873496861860323603e-01
1.182364729458917768e-01 9.872438053936393176e-01 9.872437172060553046e-01
1.202404809619238429e-01 9.871412719430653349e-01 9.871411808855212744e-01
1.222444889779558952e-01 9.870421447998363185e-01 9.870420508337075516e-01
1.242484969939879613e-01 9.869463971092813370e-01 9.869463001964042803e-01
1.262525050100200275e-01 9.868540015587697889e-01 9.868539016614480408e-01
1.282565130260520936e-01 9.867649303833176955e-01 9.867648274643282535e-01
1.302605210420841597e-01 9.866791553712656038e-01 9.866790493938639717e-01
1.322645290581162258e-01 9.865966478700274322e-01 9.865965387979543921e-01
1.342685370741482920e-01 9.865173787919097048e-01 9.865172665893965354e-01
1.362725450901803581e-01 9.864413186199982864e-01 9.864412032517727580e-01
1.382765531062124242e-01 9.863684374141151734e-01 9.863683188454068773e-01
1.402805611222444904e-01 9.862987048168406767e-01 9.862985830133865761e-01
1.422845691382765287e-01 9.862320900596028839e-01 9.862319649876526428e-01
1.442885771543085949e-01 9.861685619688314031e-01 9.861684335951530489e-01
1.462925851703406610e-01 9.861080889721760556e-01 9.861079572640608637e-01
1.482965931863727271e-01 9.860506391047882957e-01 9.860505040300566737e-01
1.503006012024047933e-01 9.859961800156656908e-01 9.859960415426715086e-01
1.523046092184368594e-01 9.859446789740563544e-01 9.859445370716926060e-01
1.543086172344689255e-01 9.858961028759246625e-01 9.858959575136275744e-01
1.563126252505009917e-01 9.858504182504752578e-01 9.858502693982300613e-01
1.583166332665330578e-01 9.858075912667363383e-01 9.858074388950814892e-01
1.603206412825651239e-01 9.857675877401992359e-01 9.857674318202308550e-01
1.623246492985971901e-01 9.857303731395133939e-01 9.857302136428904848e-01
1.643286573146292562e-01 9.856959125932384103e-01 9.856957494921868568e-01
1.663326653306613223e-01 9.856641708966478177e-01 9.856640041639650462e-01
1.683366733466933607e-01 9.856351125185871531e-01 9.856349421276462408e-01
1.703406813627254268e-01 9.856087016083826535e-01 9.856085275331366580e-01
1.723446893787574929e-01 9.855849020028015772e-01 9.855847242177877554e-01
1.743486973947895591e-01 9.855636772330618189e-01 9.855634957134058460e-01
