x U u
0.000000000000000000e+00 -1.289582288556706018e-12 0.000000000000000000e+00
2.004008016032063962e-03 -9.999918019637731546e-04 -9.999946691168458413e-04
4.008016032064127925e-03 -1.995959824679438294e-03 -1.995965613331786986e-03
6.012024048096191453e-03 -2.987896976280772238e-03 -2.987905739476395817e-03
8.016032064128255849e-03 -3.975796800134953277e-03 -3.975808590896825340e-03
1.002004008016032024e-02 -4.959653475879806546e-03 -4.959668347201465904e-03
1.202404809619238291e-02 -5.939461819070593514e-03 -5.939479823907752032e-03
1.402805611222444730e-02 -6.915217280725981935e-03 -6.915238471988105484e-03
1.603206412825651170e-02 -7.886915946773260036e-03 -7.886940377315201922e-03
1.803607214428857436e-02 -8.854554537392891195e-03 -8.854582260006498701e-03
2.004008016032064049e-02 -9.818130406262516249e-03 -9.818161473668266664e-03
2.204408817635270315e-02 -1.077764153970050230e-02 -1.077767600453914502e-02
2.404809619238476581e-02 -1.173308655570921843e-02 -1.173312447053343269e-02
2.605210420841683194e-02 -1.268446470291812421e-02 -1.268450612018417328e-02
2.805611222444889460e-02 -1.363177585942689993e-02 -1.363182083148633573e-02
3.006012024048096073e-02 -1.457502053154878519e-02 -1.457506911064011985e-02
3.206412825651302340e-02 -1.551419985245428186e-02 -1.551425209069473218e-02
3.406813627254508953e-02 -1.644931558071550948e-02 -1.644937153009272054e-02
3.607214428857714872e-02 -1.738037009875138122e-02 -1.738042981111518823e-02
3.807615230460921485e-02 -1.830736641117388860e-02 -1.830742993822809944e-02
4.008016032064128098e-02 -1.923030814303573061e-02 -1.923037553632991198e-02
4.208416833667334017e-02 -2.014919953797956673e-02 -2.014927084890089787e-02
4.408817635270540630e-02 -2.106404545628923555e-02 -2.106412073605433422e-02
4.609218436873747243e-02 -2.197485137284314535e-02 -2.197493067248995971e-02
4.809619238476953162e-02 -2.288162337497026688e-02 -2.288170674534999172e-02
5.010020040080159776e-02 -2.378436816020903025e-02 -2.378445565197803008e-02
5.210420841683366389e-02 -2.468309303396944848e-02 -2.468318469758123274e-02
5.410821643286573002e-02 -2.557780590709887031e-02 -2.557790179279610665e-02
5.611222444889778921e-02 -2.646851529335176798e-02 -2.646861545115829217e-02
5.811623246492985534e-02 -2.735523030676392103e-02 -2.735533478647682315e-02
6.012024048096192147e-02 -2.823796065893141582e-02 -2.823806951011313682e-02
6.212424849699398066e-02 -2.911671665619491867e-02 -2.911682992816540597e-02
6.412825651302604679e-02 -2.999150919672968069e-02 -2.999162693855855072e-02
6.613226452905811292e-02 -3.086234976754164555e-02 -3.086247202804040524e-02
6.813627254509017905e-02 -3.172925044137026723e-02 -3.172937726908458406e-02
7.014028056112224518e-02 -3.259222387349840211e-02 -3.259235531670041236e-02
7.214428857715429744e-02 -3.345128329846990684e-02 -3.345141940515054813e-02
7.414829659318636357e-02 -3.430644252671537220e-02 -3.430658334457677150e-02
7.615230460921842970e-02 -3.515771594108648562e-02 -3.515786151753443056e-02
7.815631262525049583e-02 -3.600511849329975783e-02 -3.600526887543615412e-02
8.016032064128256196e-02 -3.684866570028998145e-02 -3.684882093490536581e-02
8.216432865731462809e-02 -3.768837364047408767e-02 -3.768853377404024485e-02
8.416833667334668034e-02 -3.852425894992599076e-02 -3.852442402858857751e-02
8.617234468937874647e-02 -3.935633881846303805e-02 -3.935650888803422787e-02
8.817635270541081260e-02 -4.018463098564459962e-02 -4.018480609159589406e-02
9.018036072144287874e-02 -4.100915373668359565e-02 -4.100933392413855239e-02
9.218436873747494487e-02 -4.182992589827142643e-02 -4.183011121199853993e-02
9.418837675350701100e-02 -4.264696683431712376e-02 -4.264715731872270599e-02
9.619238476953906325e-02 -4.346029644160125799e-02 -4.346049214072242317e-02
9.819639278557112938e-02 -4.426993514534545426e-02 -4.427013610284311063e-02
1.002004008016031955e-01 -4.507590389469801756e-02 -4.507611015384994230e-02
1.022044088176352616e-01 -4.587822415813656157e-02 -4.587843576183056604e-02
1.042084168336673278e-01 -4.667691791878828683e-02 -4.667713490951539562e-02
1.062124248496993939e-01 -4.747200766966866436e-02 -4.747223008951638457e-02
1.082164328657314600e-01 -4.826351640883927430e-02 -4.826374429948492029e-02
1.102204408817635123e-01 -4.905146763448556269e-02 -4.905170103718967112e-02
1.122244488977955784e-01 -4.983588533991534231e-02 -4.983612429551510792e-02
1.142284569138276445e-01 -5.061679400847875210e-02 -5.061703855738153290e-02
1.162324649298597107e-01 -5.139421860841052875e-02 -5.139446879058749001e-02
1.182364729458917768e-01 -5.216818458759543004e-02 -5.216844044257516744e-02
1.202404809619238429e-01 -5.293871786825759401e-02 -5.293897943511986781e-02
1.222444889779558952e-01 -5.370584484157467364e-02 -5.370611215894423307e-02
1.242484969939879613e-01 -5.446959236221769057e-02 -5.446986546825814679e-02
1.262525050100200275e-01 -5.522998774281730194e-02 -5.523026667522506344e-02
1.282565130260520936e-01 -5.598705874835752799e-02 -5.598734354435583316e-02
1.302605210420841597e-01 -5.674083359049776620e-02 -5.674112428683079912e-02
1.322645290581162258e-01 -5.749134092182396627e-02 -5.749163755475098642e-02
1.342685370741482920e-01 -5.823860983002988184e-02 -5.823891243531950646e-02
1.362725450901803581e-01 -5.898266983202937047e-02 -5.898297844495391240e-02
1.382765531062124242e-01 -5.972355086800062302e-02 -5.972386552333048410e-02
1.402805611222444904e-01 -6.046128329536328699e-02 -6.046160402736144857e-02
1.422845691382765287e-01 -6.119589788268946923e-02 -6.119622472510603123e-02
1.442885771543085949e-01 -6.192742580354950593e-02 -6.192775878961638558e-02
1.462925851703406610e-01 -6.265589863029352724e-02 -6.265623779271917160e-02
1.482965931863727271e-01 -6.338134832776985694e-02 -6.338169369873404568e-02
1.503006012024047933e-01 -6.410380724698110100e-02 -6.410415885812983938e-02
1.523046092184368594e-01 -6.482330811867904885e-02 -6.482366600111960642e-02
1.543086172344689255e-01 -6.553988404689942149e-02 -6.554024823119529441e-02
1.563126252505009917e-01 -6.625356850243734053e-02 -6.625393901860351931e-02
1.583166332665330578e-01 -6.696439531626471875e-02 -6.696477219376281709e-02
1.603206412825651239e-01 -6.767239867289046029e-02 -6.767278194062414931e-02
1.623246492985971901e-01 -6.837761310366476109e-02 -6.837800278997514802e-02
1.643286573146292562e-01 -6.908007348002828674e-02 -6.908046961268940467e-02
1.663326653306613223e-01 -6.977981500670747683e-02 -6.978021761292188541e-02
1.683366733466933607e-01 -7.047687321485700263e-02 -7.047728232125148595e-02
1.703406813627254268e-01 -7.117128395515048833e-02 -7.117169958777180838e-02
1.723446893787574929e-01 -7.186308339082052299e-02 -7.186350557513131176e-02
1.743486973947895591e-01 -7.255230799064915637e-02 -7.255273675152394686e-02
1.763527054108216252e-01 -7.323899452191001691e-02 -7.323942988363117690e-02
1.783567134268536913e-01 -7.392318004326298153e-02 -7.392362202951693884e-02
1.803607214428857575e-01 -7.460490189760270174e-02 -7.460535053147618334e-02
1.823647294589178236e-01 -7.528419770486212415e-02 -7.528465300883842304e-02
1.843687374749498897e-01 -7.596110535477193504e-02 -7.596156735072745469e-02
1.863727454909819559e-01 -7.663566299957740025e-02 -7.663613170877811576e-02
1.883767535070140220e-01 -7.730790904671351604e-02 -7.730838448981160183e-02
1.903807615230460881e-01 -7.797788215143962309e-02 -7.797836434847021936e-02
1.923847695390781265e-01 -7.864562120943488499e-02 -7.864611017981287810e-02
1.943887775551101926e-01 -7.931116534935551965e-02 -7.931166111187248902e-02
1.963927855711422588e-01 -7.997455392535511576e-02 -7.997505649817639173e-02
1.983967935871743249e-01 -8.063582650956931108e-02 -8.063633591023100511e-02
2.004008016032063910e-01 -8.129502288456570691e-02 -8.129553912997200538e-02
2.024048096192384572e-01 -8.195218303576062846e-02 -8.195270614218111427e-02
2.044088176352705233e-01 -8.260734714380357779e-02 -8.260787712687059359e-02
2.064128256513025894e-01 -8.326055557693083642e-02 -8.326109245163704209e-02
2.084168336673346555e-01 -8.391184888328918901e-02 -8.391239266398520247e-02
2.104208416833667217e-01 -8.456126778323130866e-02 -8.456181848362336051e-02
2.124248496993987878e-01 -8.520885316158367806e-02 -8.520941079473152990e-02
2.144288577154308539e-01 -8.585464605988848974e-02 -8.585521063820331089e-02
2.164328657314629201e-01 -8.649868766862078839e-02 -8.649925920386318523e-02
2.184368737474949584e-01 -8.714101931938181278e-02 -8.714159782265999687e-02
2.204408817635270246e-01 -8.778168247707016092e-02 -8.778226795883814493e-02
2.224448897795590907e-01 -8.842071873203166676e-02 -8.842131120208764072e-02
2.244488977955911568e-01 -8.905816979218948715e-02 -8.905876925967425028e-02
2.264529058116232230e-01 -8.969407747515550922e-02 -8.969468394855101279e-02
2.284569138276552891e-01 -9.032848370032432739e-02 -9.032909718745237015e-02
2.304609218436873552e-01 -9.096143048095119144e-02 -9.096205098897214292e-02
2.324649298597194214e-01 -9.159295991621499433e-02 -9.159358745162662907e-02
2.344689378757514875e-01 -9.222311418326757659e-02 -9.222374875190413046e-02
2.364729458917835536e-01 -9.285193552927084593e-02 -9.285257713630203080e-02
2.384769539078156197e-01 -9.347946626342264198e-02 -9.348011491335279921e-02
2.404809619238476859e-01 -9.410574874897278952e-02 -9.410640444564026541e-02
2.424849699398797520e-01 -9.473082539523068613e-02 -9.473148814180713806e-02
2.444889779559117904e-01 -9.535473864956543755e-02 -9.535540844855537601e-02
2.464929859719438565e-01 -9.597753098940006722e-02 -9.597820784264043947e-02
2.484969939879759226e-01 -9.659924491420092407e-02 -9.659992882286086435e-02
2.505010020040079888e-01 -9.721992293746360703e-02 -9.722061390204415898e-02
2.525050100200400549e-01 -9.783960757869659963e-02 -9.784030559903074409e-02
2.545090180360721210e-01 -9.845834135540408594e-02 -9.845904643065672701e-02
2.565130260521041872e-01 -9.907616677506896063e-02 -9.907687890373702289e-02
2.585170340681362533e-01 -9.969312632713749067e-02 -9.969384550705019665e-02
2.605210420841683194e-01 -1.003092624750067940e-01 -1.003099887033259974e-01
2.625250501002003856e-01 -1.009246176480164958e-01 -1.009253509212371253e-01
2.645290581162324517e-01 -1.015392342334457548e-01 -1.015399745473963833e-01
2.665330661322645178e-01 -1.021531545685169518e-01 -1.021539019183604485e-01
2.685370741482965840e-01 -1.027664209324073707e-01 -1.027671753126416787e-01
2.705410821643286501e-01 -1.033790755382699988e-01 -1.033798369427289671e-01
2.725450901803607162e-01 -1.039911605252648030e-01 -1.039919289471192276e-01
2.745490981963927823e-01 -1.046027179506018728e-01 -1.046034933823605378e-01
2.765531062124248485e-01 -1.052137897815973583e-01 -1.052145722151082291e-01
2.785571142284569146e-01 -1.058244178877437852e-01 -1.058252073141952992e-01
2.805611222444889807e-01 -1.064346440327958582e-01 -1.064354404427183542e-01
2.825651302605209914e-01 -1.070445098668730138e-01 -1.070453132501401616e-01
2.845691382765530575e-01 -1.076540569185800433e-01 -1.076548672644104948e-01
2.865731462925851236e-01 -1.082633265871467965e-01 -1.082641438841059206e-01
2.885771543086171897e-01 -1.088723601345886471e-01 -1.088731843705903202e-01
2.905811623246492559e-01 -1.094811986778885943e-01 -1.094820298401970871e-01
2.925851703406813220e-01 -1.100898831812023304e-01 -1.100907212564343762e-01
2.945891783567133881e-01 -1.106984544480875687e-01 -1.106992994222144727e-01
2.965931863727454543e-01 -1.113069531137588913e-01 -1.113078049721086954e-01
2.985971943887775204e-01 -1.119154196373691457e-01 -1.119162783646290710e-01
3.006012024048095865e-01 -1.125238942943189296e-01 -1.125247598745376665e-01
3.026052104208416527e-01 -1.131324171685950397e-01 -1.131332895851853981e-01
3.046092184368737188e-01 -1.137410281451393945e-01 -1.137419073808808856e-01
3.066132264529057849e-01 -1.143497669022494889e-01 -1.143506529392910309e-01
3.086172344689378511e-01 -1.149586729040115579e-01 -1.149595657238743213e-01
3.106212424849699172e-01 -1.155677853927677134e-01 -1.155686849763480767e-01
3.126252505010019833e-01 -1.161771433816183169e-01 -1.161780497091908781e-01
3.146292585170340494e-01 -1.167867856469606280e-01 -1.167876986981812998e-01
3.166332665330661156e-01 -1.173967507210649380e-01 -1.173976704749742361e-01
3.186372745490981817e-01 -1.180070768846895463e-01 -1.180080033197158651e-01
3.206412825651302478e-01 -1.186178021597354693e-01 -1.186187352536984818e-01
3.226452905811623140e-01 -1.192289643019422557e-01 -1.192299040320565356e-01
3.246492985971943801e-01 -1.198406007936260731e-01 -1.198415471365045781e-01
3.266533066132264462e-01 -1.204527488364609406e-01 -1.204537017681187733e-01
3.286573146292585124e-01 -1.210654453443046757e-01 -1.210664048401629417e-01
3.306613226452905785e-01 -1.216787269360703611e-01 -1.216796929709599850e-01
3.326653306613226446e-01 -1.222926299286445639e-01 -1.222936024768103147e-01
3.346693386773546552e-01 -1.229071903298535051e-01 -1.229081693649580753e-01
3.366733466933867214e-01 -1.235224438314782153e-01 -1.235234293266063987e-01
3.386773547094187875e-01 -1.241384258023196796e-01 -1.241394177299826040e-01
3.406813627254508536e-01 -1.247551712813153579e-01 -1.247561696134549258e-01
3.426853707414829198e-01 -1.253727149707078992e-01 -1.253737196787011732e-01
3.446893787575149859e-01 -1.259910912292673268e-01 -1.259921022839310401e-01
3.466933867735470520e-01 -1.266103340655675702e-01 -1.266113514371628168e-01
3.486973947895791182e-01 -1.272304771313185201e-01 -1.272315007895554739e-01
3.507014028056111843e-01 -1.278515537147548176e-01 -1.278525836287974782e-01
3.527054108216432504e-01 -1.284735967340821239e-01 -1.284746328725532294e-01
3.547094188376753165e-01 -1.290966387309820385e-01 -1.290976810619680615e-01
3.567134268537073827e-01 -1.297207118641768575e-01 -1.297217603552330845e-01
3.587174348697394488e-01 -1.303458479030549511e-01 -1.303469025212105059e-01
3.607214428857715149e-01 -1.309720782213578127e-01 -1.309731389331210694e-01
