x U u
0.000000000000000000e+00 -2.120418088624451400e-10 0.000000000000000000e+00
2.004008016032063962e-03 2.011995299788458883e-06 2.009338899187224081e-06
4.008016032064127925e-03 8.047980599911434021e-06 8.042402700275674832e-06
6.012024048096191453e-03 1.811483701436567470e-05 1.810628457169990990e-05
8.016032064128255849e-03 3.221902117597397652e-05 3.220744116730345219e-05
1.002004008016032024e-02 5.036635344691034883e-05 5.035169287869248334e-05
1.202404809619238291e-02 7.256201827191168094e-05 7.254422418843942122e-05
1.402805611222444730e-02 9.881056463231111876e-05 9.878958412411903423e-05
1.603206412825651170e-02 1.291159066008208504e-04 1.290916868130556616e-04
1.803607214428857436e-02 1.634813239969767245e-04 1.634538121377884790e-04
2.004008016032064049e-02 2.019094631431407356e-04 2.018786064920535805e-04
2.204408817635270315e-02 2.444023377209409028e-04 2.443680836372065512e-04
2.404809619238476581e-02 2.909613297280140521e-04 2.909236256589502190e-04
2.605210420841683194e-02 3.415871905348983727e-04 3.415459840242426881e-04
2.805611222444889460e-02 3.962800420419086852e-04 3.962352807381115671e-04
3.006012024048096073e-02 4.550393779358121132e-04 4.549910096003605131e-04
3.206412825651302340e-02 5.178640650461027685e-04 5.178120375617795146e-04
3.406813627254508953e-02 5.847523448006628627e-04 5.846966061798242187e-04
3.607214428857714872e-02 6.557018347805763318e-04 6.556423331733861326e-04
3.807615230460921485e-02 7.307095303738531935e-04 7.306462140765079827e-04
4.008016032064128098e-02 8.097718065277961915e-04 8.097046239907285115e-04
4.208416833667334017e-02 8.928844195997378066e-04 8.928133194357722180e-04
4.408817635270540630e-02 9.800425093058515950e-04 9.799674402983689359e-04
4.609218436873747243e-02 1.071240600767726795e-03 1.071161511878776507e-03
4.809619238476953162e-02 1.166472606656386145e-03 1.166389447034774096e-03
5.010020040080159776e-02 1.265731829433404529e-03 1.265644548422768800e-03
5.210420841683366389e-02 1.369010963688771726e-03 1.368919510835599207e-03
5.410821643286573002e-02 1.476302098575131864e-03 1.476206423636758358e-03
5.611222444889778921e-02 1.587596720338011174e-03 1.587496773290602431e-03
5.811623246492985534e-02 1.702885714941635743e-03 1.702781445988104519e-03
6.012024048096192147e-02 1.822159370789916844e-03 1.822050730367823917e-03
6.212424849699398066e-02 1.945407381542179487e-03 1.945294320331584365e-03
6.412825651302604679e-02 2.072618849023186854e-03 2.072501317954472677e-03
6.613226452905811292e-02 2.203782286226990943e-03 2.203660236488651225e-03
6.813627254509017905e-02 2.338885620414146022e-03 2.338759003460505470e-03
7.014028056112224518e-02 2.477916196301781834e-03 2.477784963860710232e-03
7.214428857715429744e-02 2.620860779346039990e-03 2.620724883426604063e-03
7.414829659318636357e-02 2.767705559116352253e-03 2.767564952016406815e-03
7.615230460921842970e-02 2.918436152761011253e-03 2.918290787074784287e-03
7.815631262525049583e-02 3.073037608563508431e-03 3.072887437189093796e-03
8.016032064128256196e-02 3.231494409589055501e-03 3.231339385735911701e-03
8.216432865731462809e-02 3.393790477420722141e-03 3.393630554617065725e-03
8.416833667334668034e-02 3.559909175984590606e-03 3.559744308084766135e-03
8.617234468937874647e-02 3.729833315463331345e-03 3.729663456655141901e-03
8.817635270541081260e-02 3.903545156297557814e-03 3.903370261109512240e-03
9.018036072144287874e-02 4.081026413274355460e-03 4.080846436582890452e-03
9.218436873747494487e-02 4.262258259702311411e-03 4.262073156738932500e-03
9.418837675350701100e-02 4.447221331672400815e-03 4.447031058030796041e-03
9.619238476953906325e-02 4.635895732404035977e-03 4.635700244047108454e-03
9.819639278557112938e-02 4.828261036675613425e-03 4.828060289942457534e-03
1.002004008016031955e-01 5.024296295338829058e-03 5.024090246951655458e-03
1.022044088176352616e-01 5.223980039916065708e-03 5.223768646987064779e-03
1.042084168336673278e-01 5.427290287280119377e-03 5.427073507318268264e-03
1.062124248496993939e-01 5.634204544415519905e-03 5.633982335333312386e-03
1.082164328657314600e-01 5.844699813260687167e-03 5.844472133380806261e-03
