x t U
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.040816326530612082e-02 0.000000000000000000e+00 3.511098905875920106e-04
4.081632653061224164e-02 0.000000000000000000e+00 2.801959240679829932e-03
6.122448979591836593e-02 0.000000000000000000e+00 9.417809845906677246e-03
8.163265306122448328e-02 0.000000000000000000e+00 2.219553429643650322e-02
1.020408163265306006e-01 0.000000000000000000e+00 4.303082738425201281e-02
1.224489795918367319e-01 0.000000000000000000e+00 7.368707884707514921e-02
1.428571428571428492e-01 0.000000000000000000e+00 1.157664185576253724e-01
1.632653061224489666e-01 0.000000000000000000e+00 1.706834095954026242e-01
1.836734693877550839e-01 0.000000000000000000e+00 2.396418211600298553e-01
2.040816326530612013e-01 0.000000000000000000e+00 3.236148627142751977e-01
2.244897959183673186e-01 0.000000000000000000e+00 4.233292039115792438e-01
2.448979591836734637e-01 0.000000000000000000e+00 5.392530427004351701e-01
2.653061224489795533e-01 0.000000000000000000e+00 6.715884175270183665e-01
2.857142857142856984e-01 0.000000000000000000e+00 8.202678898694867327e-01
3.061224489795917880e-01 0.000000000000000000e+00 9.849556515766431097e-01
3.265306122448979331e-01 0.000000000000000000e+00 1.165053038828497201e+00
3.469387755102040782e-01 0.000000000000000000e+00 1.359708362179634866e+00
3.673469387755101678e-01 0.000000000000000000e+00 1.567830891276368765e+00
3.877551020408163129e-01 0.000000000000000000e+00 1.788108764618990154e+00
4.081632653061224025e-01 0.000000000000000000e+00 2.019030530291322734e+00
4.285714285714285476e-01 0.000000000000000000e+00 2.258909963959407463e+00
4.489795918367346372e-01 0.000000000000000000e+00 2.505913756628437294e+00
4.693877551020407823e-01 0.000000000000000000e+00 2.758091617525780137e+00
4.897959183673469274e-01 0.000000000000000000e+00 3.013408297821532855e+00
5.102040816326530726e-01 0.000000000000000000e+00 3.269777009358052933e+00
5.306122448979591066e-01 0.000000000000000000e+00 3.525093689653805207e+00
5.510204081632652517e-01 0.000000000000000000e+00 3.777271550551146717e+00
5.714285714285713969e-01 0.000000000000000000e+00 4.024275343220178769e+00
5.918367346938775420e-01 0.000000000000000000e+00 4.264154776888262610e+00
6.122448979591835760e-01 0.000000000000000000e+00 4.495076542560594746e+00
6.326530612244897211e-01 0.000000000000000000e+00 4.715354415903215468e+00
6.530612244897958663e-01 0.000000000000000000e+00 4.923476944999950256e+00
6.734693877551020114e-01 0.000000000000000000e+00 5.118132268351089031e+00
6.938775510204081565e-01 0.000000000000000000e+00 5.298229655602941790e+00
7.142857142857141906e-01 0.000000000000000000e+00 5.462917417310098500e+00
7.346938775510203357e-01 0.000000000000000000e+00 5.611596889652567199e+00
7.551020408163264808e-01 0.000000000000000000e+00 5.743932264479150618e+00
7.755102040816326259e-01 0.000000000000000000e+00 5.859856103268007210e+00
7.959183673469386600e-01 0.000000000000000000e+00 5.959570444465310146e+00
