x t U
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.040816326530612082e-02 0.000000000000000000e+00 6.407021998071291136e-02
4.081632653061224164e-02 0.000000000000000000e+00 1.278771616845059966e-01
6.122448979591836593e-02 0.000000000000000000e+00 1.911586287013722907e-01
8.163265306122448328e-02 0.000000000000000000e+00 2.536545839095073474e-01
1.020408163265306006e-01 0.000000000000000000e+00 3.151082180236206565e-01
1.224489795918367319e-01 0.000000000000000000e+00 3.752670048793740887e-01
1.428571428571428492e-01 0.000000000000000000e+00 4.338837391175581204e-01
1.632653061224489666e-01 0.000000000000000000e+00 4.907175520039378513e-01
1.836734693877550839e-01 0.000000000000000000e+00 5.455349012105485951e-01
2.040816326530612013e-01 0.000000000000000000e+00 5.981105304912158749e-01
2.244897959183673186e-01 0.000000000000000000e+00 6.482283953077883076e-01
2.448979591836734637e-01 0.000000000000000000e+00 6.956825506034863826e-01
2.653061224489795533e-01 0.000000000000000000e+00 7.402779970753154970e-01
2.857142857142856984e-01 0.000000000000000000e+00 7.818314824680298036e-01
3.061224489795917880e-01 0.000000000000000000e+00 8.201722545969557521e-01
3.265306122448979331e-01 0.000000000000000000e+00 8.551427630053460849e-01
3.469387755102040782e-01 0.000000000000000000e+00 8.865993063729999957e-01
3.673469387755101678e-01 0.000000000000000000e+00 9.144126230158123869e-01
3.877551020408163129e-01 0.000000000000000000e+00 9.384684220497604423e-01
4.081632653061224025e-01 0.000000000000000000e+00 9.586678530366605777e-01
4.285714285714285476e-01 0.000000000000000000e+00 9.749279121818236193e-01
4.489795918367346372e-01 0.000000000000000000e+00 9.871817834144500647e-01
4.693877551020407823e-01 0.000000000000000000e+00 9.953791129491982304e-01
4.897959183673469274e-01 0.000000000000000000e+00 9.994862162006878936e-01
5.102040816326530726e-01 0.000000000000000000e+00 9.994862162006878936e-01
5.306122448979591066e-01 0.000000000000000000e+00 9.953791129491982304e-01
5.510204081632652517e-01 0.000000000000000000e+00 9.871817834144501758e-01
5.714285714285713969e-01 0.000000000000000000e+00 9.749279121818236193e-01
5.918367346938775420e-01 0.000000000000000000e+00 9.586678530366606887e-01
6.122448979591835760e-01 0.000000000000000000e+00 9.384684220497605533e-01
6.326530612244897211e-01 0.000000000000000000e+00 9.144126230158126090e-01
6.530612244897958663e-01 0.000000000000000000e+00 8.865993063730001067e-01
6.734693877551020114e-01 0.000000000000000000e+00 8.551427630053461959e-01
6.938775510204081565e-01 0.000000000000000000e+00 8.201722545969560851e-01
7.142857142857141906e-01 0.000000000000000000e+00 7.818314824680301367e-01
7.346938775510203357e-01 0.000000000000000000e+00 7.402779970753157190e-01
7.551020408163264808e-01 0.000000000000000000e+00 6.956825506034864937e-01
7.755102040816326259e-01 0.000000000000000000e+00 6.482283953077884187e-01
7.959183673469386600e-01 0.000000000000000000e+00 5.981105304912165410e-01
8.163265306122448051e-01 0.000000000000000000e+00 5.455349012105490392e-01
8.367346938775509502e-01 0.000000000000000000e+00 4.907175520039381289e-01
8.571428571428570953e-01 0.000000000000000000e+00 4.338837391175582314e-01
8.775510204081632404e-01 0.000000000000000000e+00 3.752670048793744773e-01
8.979591836734692745e-01 0.000000000000000000e+00 3.151082180236212671e-01
9.183673469387754196e-01 0.000000000000000000e+00 2.536545839095077914e-01
9.387755102040815647e-01 0.000000000000000000e+00 1.911586287013725405e-01
9.591836734693877098e-01 0.000000000000000000e+00 1.278771616845060521e-01
9.795918367346938549e-01 0.000000000000000000e+00 6.407021998071323055e-02
1.000000000000000000e+00 0.000000000000000000e+00 1.224646799147353207e-16
0.000000000000000000e+00 5.102040816326530205e-03 0.000000000000000000e+00
2.040816326530612082e-02 5.102040816326530205e-03 6.092424201534769879e-02
4.081632653061224164e-02 5.102040816326530205e-03 1.215981332520454095e-01
6.122448979591836593e-02 5.102040816326530205e-03 1.817723516764926384e-01
8.163265306122448328e-02 5.102040816326530205e-03 2.411996285178540367e-01
1.020408163265306006e-01 5.102040816326530205e-03 2.996357643484774957e-01
1.224489795918367319e-01 5.102040816326530205e-03 3.568406325517232136e-01
1.428571428571428492e-01 5.102040816326530205e-03 4.125791660537381778e-01
1.632653061224489666e-01 5.102040816326530205e-03 4.666223232644848284e-01
1.836734693877550839e-01 5.102040816326530205e-03 5.187480292587632880e-01
2.040816326530612013e-01 5.102040816326530205e-03 5.687420883297141794e-01
2.244897959183673186e-01 5.102040816326530205e-03 6.163990641649227387e-01
2.448979591836734637e-01 5.102040816326530205e-03 6.615231240282929415e-01
2.653061224489795533e-01 5.102040816326530205e-03 7.039288434787660531e-01
2.857142857142856984e-01 5.102040816326530205e-03 7.434419683191212380e-01
3.061224489795917880e-01 5.102040816326530205e-03 7.799001306438514414e-01
3.265306122448979331e-01 5.102040816326530205e-03 8.131535160437124432e-01
3.469387755102040782e-01 5.102040816326530205e-03 8.430654792252678664e-01
3.673469387755101678e-01 5.102040816326530205e-03 8.695131055157082622e-01
3.877551020408163129e-01 5.102040816326530205e-03 8.923877159456082842e-01
4.081632653061224025e-01 5.102040816326530205e-03 9.115953138341230666e-01
4.285714285714285476e-01 5.102040816326530205e-03 9.270569710415118569e-01
4.489795918367346372e-01 5.102040816326530205e-03 9.387091523017946360e-01
4.693877551020407823e-01 5.102040816326530205e-03 9.465039763027872644e-01
4.897959183673469274e-01 5.102040816326530205e-03 9.504094124406855526e-01
5.102040816326530726e-01 5.102040816326530205e-03 9.504094124406856636e-01
5.306122448979591066e-01 5.102040816326530205e-03 9.465039763027874864e-01
5.510204081632652517e-01 5.102040816326530205e-03 9.387091523017947470e-01
5.714285714285713969e-01 5.102040816326530205e-03 9.270569710415123010e-01
5.918367346938775420e-01 5.102040816326530205e-03 9.115953138341233997e-01
6.122448979591835760e-01 5.102040816326530205e-03 8.923877159456083952e-01
6.326530612244897211e-01 5.102040816326530205e-03 8.695131055157084843e-01
6.530612244897958663e-01 5.102040816326530205e-03 8.430654792252681995e-01
6.734693877551020114e-01 5.102040816326530205e-03 8.131535160437132204e-01
6.938775510204081565e-01 5.102040816326530205e-03 7.799001306438519965e-01
7.142857142857141906e-01 5.102040816326530205e-03 7.434419683191217931e-01
7.346938775510203357e-01 5.102040816326530205e-03 7.039288434787666082e-01
7.551020408163264808e-01 5.102040816326530205e-03 6.615231240282936076e-01
7.755102040816326259e-01 5.102040816326530205e-03 6.163990641649232938e-01
