x t U
0.000000000000000000e+00 0.000000000000000000e+00 3.720075976020836120e-44
5.025125628140703592e-03 0.000000000000000000e+00 2.748646187395770142e-43
1.005025125628140718e-02 0.000000000000000000e+00 1.990272149914370958e-42
1.507537688442210991e-02 0.000000000000000000e+00 1.412318628570121455e-41
2.010050251256281437e-02 0.000000000000000000e+00 9.821538078871853262e-41
2.512562814070351883e-02 0.000000000000000000e+00 6.693494605131164100e-40
3.015075376884421982e-02 0.000000000000000000e+00 4.470467338558949503e-39
3.517587939698492427e-02 0.000000000000000000e+00 2.926035092984505269e-38
4.020100502512562873e-02 0.000000000000000000e+00 1.876863680718161966e-37
4.522613065326633319e-02 0.000000000000000000e+00 1.179811230521048120e-36
5.025125628140703765e-02 0.000000000000000000e+00 7.268066914390529495e-36
5.527638190954774211e-02 0.000000000000000000e+00 4.387851325642078830e-35
6.030150753768843963e-02 0.000000000000000000e+00 2.596040636814244432e-34
6.532663316582915103e-02 0.000000000000000000e+00 1.505211974041418720e-33
7.035175879396984855e-02 0.000000000000000000e+00 8.552841784911873961e-33
7.537688442211055995e-02 0.000000000000000000e+00 4.762662509403205737e-32
8.040201005025125747e-02 0.000000000000000000e+00 2.599056812703266863e-31
8.542713567839195499e-02 0.000000000000000000e+00 1.389979302984305948e-30
9.045226130653266639e-02 0.000000000000000000e+00 7.284965342431869025e-30
9.547738693467336391e-02 0.000000000000000000e+00 3.741736858698536744e-29
1.005025125628140753e-01 0.000000000000000000e+00 1.883413112821955324e-28
1.055276381909547728e-01 0.000000000000000000e+00 9.290616491152005847e-28
1.105527638190954842e-01 0.000000000000000000e+00 4.491279390007816869e-27
1.155778894472361817e-01 0.000000000000000000e+00 2.127757876378473442e-26
1.206030150753768793e-01 0.000000000000000000e+00 9.878725938854372637e-26
1.256281407035175768e-01 0.000000000000000000e+00 4.494757472909160269e-25
1.306532663316583021e-01 0.000000000000000000e+00 2.004186741510941510e-24
1.356783919597989996e-01 0.000000000000000000e+00 8.757833857750911030e-24
1.407035175879396971e-01 0.000000000000000000e+00 3.750436485683497292e-23
1.457286432160803946e-01 0.000000000000000000e+00 1.573959392687040196e-22
1.507537688442211199e-01 0.000000000000000000e+00 6.473390823699791841e-22
1.557788944723618174e-01 0.000000000000000000e+00 2.609136064078688539e-21
1.608040201005025149e-01 0.000000000000000000e+00 1.030595456070724021e-20
1.658291457286432125e-01 0.000000000000000000e+00 3.989388344774426275e-20
1.708542713567839100e-01 0.000000000000000000e+00 1.513390492819467845e-19
1.758793969849246352e-01 0.000000000000000000e+00 5.626292206707224536e-19
1.809045226130653328e-01 0.000000000000000000e+00 2.049840936880937949e-18
1.859296482412060303e-01 0.000000000000000000e+00 7.318880157601734081e-18
1.909547738693467278e-01 0.000000000000000000e+00 2.560918192780874432e-17
1.959798994974874531e-01 0.000000000000000000e+00 8.781594324319164560e-17
2.010050251256281506e-01 0.000000000000000000e+00 2.951057226032336001e-16
2.060301507537688481e-01 0.000000000000000000e+00 9.718706967263132543e-16
2.110552763819095456e-01 0.000000000000000000e+00 3.136649124241297206e-15
2.160804020100502432e-01 0.000000000000000000e+00 9.920875225687583459e-15
2.211055276381909684e-01 0.000000000000000000e+00 3.075109825799658616e-14
2.261306532663316660e-01 0.000000000000000000e+00 9.341096744261126118e-14
2.311557788944723635e-01 0.000000000000000000e+00 2.780748455842889771e-13
2.361809045226130610e-01 0.000000000000000000e+00 8.112451905103132580e-13
2.412060301507537585e-01 0.000000000000000000e+00 2.319365330459488745e-12
2.462311557788944838e-01 0.000000000000000000e+00 6.498494904935967369e-12
2.512562814070351536e-01 0.000000000000000000e+00 1.784362140572879105e-11
2.562814070351758788e-01 0.000000000000000000e+00 4.801531839510668193e-11
2.613065326633166041e-01 0.000000000000000000e+00 1.266202660452625571e-10
2.663316582914572739e-01 0.000000000000000000e+00 3.272300856142678718e-10
2.713567839195979992e-01 0.000000000000000000e+00 8.287619925904839166e-10
2.763819095477387244e-01 0.000000000000000000e+00 2.056993983837761004e-09
2.814070351758793942e-01 0.000000000000000000e+00 5.003372218037501822e-09
2.864321608040201195e-01 0.000000000000000000e+00 1.192666991069632099e-08
2.914572864321607892e-01 0.000000000000000000e+00 2.786135168018004950e-08
2.964824120603015145e-01 0.000000000000000000e+00 6.378400136683087242e-08
3.015075376884422398e-01 0.000000000000000000e+00 1.431027350366113837e-07
3.065326633165829096e-01 0.000000000000000000e+00 3.146376601798418755e-07
3.115577889447236348e-01 0.000000000000000000e+00 6.779537525162188935e-07
3.165829145728643046e-01 0.000000000000000000e+00 1.431581342680712161e-06
3.216080402010050299e-01 0.000000000000000000e+00 2.962501549780521822e-06
3.266331658291457551e-01 0.000000000000000000e+00 6.007969763810647395e-06
3.316582914572864249e-01 0.000000000000000000e+00 1.194052675627521152e-05
3.366834170854271502e-01 0.000000000000000000e+00 2.325657891301517404e-05
3.417085427135678199e-01 0.000000000000000000e+00 4.439098365660472379e-05
3.467336683417085452e-01 0.000000000000000000e+00 8.303674245044621134e-05
3.517587939698492705e-01 0.000000000000000000e+00 1.522202510133599486e-04
3.567839195979899403e-01 0.000000000000000000e+00 2.734646282942455788e-04
3.618090452261306655e-01 0.000000000000000000e+00 4.814558649404831591e-04
3.668341708542713353e-01 0.000000000000000000e+00 8.306888838891167371e-04
3.718592964824120606e-01 0.000000000000000000e+00 1.404581396261383531e-03
3.768844221105527859e-01 0.000000000000000000e+00 2.327458899487354523e-03
3.819095477386934556e-01 0.000000000000000000e+00 3.779581589400960069e-03
3.869346733668341809e-01 0.000000000000000000e+00 6.014950044969015301e-03
3.919597989949749062e-01 0.000000000000000000e+00 9.380952143474339741e-03
3.969849246231155759e-01 0.000000000000000000e+00 1.433799457434961622e-02
4.020100502512563012e-01 0.000000000000000000e+00 2.147615346197277036e-02
4.070351758793969710e-01 0.000000000000000000e+00 3.152471588604150582e-02
4.120603015075376963e-01 0.000000000000000000e+00 4.534949544065331600e-02
4.170854271356784215e-01 0.000000000000000000e+00 6.393230068355242046e-02
4.221105527638190913e-01 0.000000000000000000e+00 8.832726904838592019e-02
4.271356783919598166e-01 0.000000000000000000e+00 1.195902759711601898e-01
4.321608040201004863e-01 0.000000000000000000e+00 1.586804885536732268e-01
4.371859296482412116e-01 0.000000000000000000e+00 2.063373200007756203e-01
4.422110552763819369e-01 0.000000000000000000e+00 2.629411981692798550e-01
4.472361809045226066e-01 0.000000000000000000e+00 3.283719752731031893e-01
4.522613065326633319e-01 0.000000000000000000e+00 4.018834565046457419e-01
4.572864321608040017e-01 0.000000000000000000e+00 4.820152381455342638e-01
4.623115577889447270e-01 0.000000000000000000e+00 5.665627308825068598e-01
4.673366834170854522e-01 0.000000000000000000e+00 6.526221853474403201e-01
4.723618090452261220e-01 0.000000000000000000e+00 7.367196595381972912e-01
4.773869346733668473e-01 0.000000000000000000e+00 8.150219045233895176e-01
4.824120603015075170e-01 0.000000000000000000e+00 8.836146310359416223e-01
4.874371859296482423e-01 0.000000000000000000e+00 9.388216828303731498e-01
4.924623115577889676e-01 0.000000000000000000e+00 9.775296072634618305e-01
4.974874371859296374e-01 0.000000000000000000e+00 9.974779968492878401e-01
5.025125628140703071e-01 0.000000000000000000e+00 9.974779968492879512e-01
5.075376884422110324e-01 0.000000000000000000e+00 9.775296072634618305e-01
5.125628140703517577e-01 0.000000000000000000e+00 9.388216828303731498e-01
5.175879396984924830e-01 0.000000000000000000e+00 8.836146310359416223e-01
5.226130653266332082e-01 0.000000000000000000e+00 8.150219045233887405e-01
5.276381909547738225e-01 0.000000000000000000e+00 7.367196595381981794e-01
5.326633165829145478e-01 0.000000000000000000e+00 6.526221853474403201e-01
5.376884422110552730e-01 0.000000000000000000e+00 5.665627308825068598e-01
5.427135678391959983e-01 0.000000000000000000e+00 4.820152381455342638e-01
5.477386934673367236e-01 0.000000000000000000e+00 4.018834565046449647e-01
5.527638190954774489e-01 0.000000000000000000e+00 3.283719752731024677e-01
5.577889447236180631e-01 0.000000000000000000e+00 2.629411981692798550e-01
5.628140703517587884e-01 0.000000000000000000e+00 2.063373200007756203e-01
5.678391959798995137e-01 0.000000000000000000e+00 1.586804885536732268e-01
5.728643216080402389e-01 0.000000000000000000e+00 1.195902759711597596e-01
5.778894472361809642e-01 0.000000000000000000e+00 8.832726904838560100e-02
5.829145728643215785e-01 0.000000000000000000e+00 6.393230068355242046e-02
5.879396984924623037e-01 0.000000000000000000e+00 4.534949544065331600e-02
5.929648241206030290e-01 0.000000000000000000e+00 3.152471588604150582e-02
5.979899497487437543e-01 0.000000000000000000e+00 2.147615346197267669e-02
6.030150753768844796e-01 0.000000000000000000e+00 1.433799457434956418e-02
6.080402010050250938e-01 0.000000000000000000e+00 9.380952143474339741e-03
6.130653266331658191e-01 0.000000000000000000e+00 6.014950044969015301e-03
6.180904522613065444e-01 0.000000000000000000e+00 3.779581589400960069e-03
6.231155778894472697e-01 0.000000000000000000e+00 2.327458899487339777e-03
6.281407035175879949e-01 0.000000000000000000e+00 1.404581396261374857e-03
6.331658291457286092e-01 0.000000000000000000e+00 8.306888838891218329e-04
6.381909547738693345e-01 0.000000000000000000e+00 4.814558649404831591e-04
6.432160804020100597e-01 0.000000000000000000e+00 2.734646282942455788e-04
6.482412060301507850e-01 0.000000000000000000e+00 1.522202510133591354e-04
6.532663316582915103e-01 0.000000000000000000e+00 8.303674245044562858e-05
6.582914572864321245e-01 0.000000000000000000e+00 4.439098365660503549e-05
6.633165829145728498e-01 0.000000000000000000e+00 2.325657891301517404e-05
6.683417085427135751e-01 0.000000000000000000e+00 1.194052675627521152e-05
