N nx ny error
1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+02 6.575776642327394450e-01
1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+02 6.575776642327394450e-01
3.000000000000000000e+02 3.000000000000000000e+00 1.000000000000000000e+02 7.845127806962155781e-02
6.000000000000000000e+02 6.000000000000000000e+00 1.000000000000000000e+02 2.491712673206296705e-02
1.200000000000000000e+03 1.200000000000000000e+01 1.000000000000000000e+02 7.232507794655259128e-03
2.300000000000000000e+03 2.300000000000000000e+01 1.000000000000000000e+02 2.198658102361205052e-03
4.300000000000000000e+03 4.300000000000000000e+01 1.000000000000000000e+02 7.360465457346908021e-04
8.100000000000000000e+03 8.100000000000000000e+01 1.000000000000000000e+02 2.954505323826100548e-04
1.510000000000000000e+04 1.510000000000000000e+02 1.000000000000000000e+02 1.691893285029684620e-04
2.840000000000000000e+04 2.840000000000000000e+02 1.000000000000000000e+02 1.321055250340377404e-04
5.330000000000000000e+04 5.330000000000000000e+02 1.000000000000000000e+02 1.215634376788299342e-04
1.000000000000000000e+05 1.000000000000000000e+03 1.000000000000000000e+02 1.185595291536341327e-04
