N nx ny error
1.000000000000000000e+02 1.000000000000000000e+02 1.000000000000000000e+00 9.537403020486638905e-01
1.000000000000000000e+02 1.000000000000000000e+02 1.000000000000000000e+00 9.537403020486638905e-01
3.000000000000000000e+02 1.000000000000000000e+02 3.000000000000000000e+00 1.477154099020841216e-01
6.000000000000000000e+02 1.000000000000000000e+02 6.000000000000000000e+00 3.682465495569880315e-02
1.200000000000000000e+03 1.000000000000000000e+02 1.200000000000000000e+01 8.880933564217997553e-03
2.300000000000000000e+03 1.000000000000000000e+02 2.300000000000000000e+01 2.426482579085622541e-03
4.300000000000000000e+03 1.000000000000000000e+02 4.300000000000000000e+01 7.660942290720891383e-04
8.100000000000000000e+03 1.000000000000000000e+02 8.100000000000000000e+01 2.975777000803985330e-04
1.510000000000000000e+04 1.000000000000000000e+02 1.510000000000000000e+02 1.674387043707002806e-04
2.840000000000000000e+04 1.000000000000000000e+02 2.840000000000000000e+02 1.294862121365294527e-04
5.330000000000000000e+04 1.000000000000000000e+02 5.330000000000000000e+02 1.185429086004759897e-04
1.000000000000000000e+05 1.000000000000000000e+02 1.000000000000000000e+03 1.152969166532438310e-04
