x y U
0.024 0.020 -0.139
0.049 0.020 -0.363
0.073 0.020 -0.557
0.098 0.020 -0.731
0.122 0.020 -0.884
0.146 0.020 -1.016
0.171 0.020 -1.123
0.195 0.020 -1.203
0.220 0.020 -1.255
0.244 0.020 -1.278
0.268 0.020 -1.271
0.293 0.020 -1.233
0.317 0.020 -1.167
0.341 0.020 -1.074
0.366 0.020 -0.955
0.390 0.020 -0.814
0.415 0.020 -0.654
0.439 0.020 -0.478
0.463 0.020 -0.291
0.488 0.020 -0.098
0.512 0.020 0.098
0.537 0.020 0.291
0.561 0.020 0.478
0.585 0.020 0.654
0.610 0.020 0.814
0.634 0.020 0.955
0.659 0.020 1.074
0.683 0.020 1.167
0.707 0.020 1.233
0.732 0.020 1.271
0.756 0.020 1.278
0.780 0.020 1.255
0.805 0.020 1.203
0.829 0.020 1.123
0.854 0.020 1.016
0.878 0.020 0.884
0.902 0.020 0.731
0.927 0.020 0.557
0.951 0.020 0.363
0.976 0.020 0.139
0.024 0.039 -0.145
0.049 0.039 -0.305
0.073 0.039 -0.460
0.098 0.039 -0.603
0.122 0.039 -0.730
0.146 0.039 -0.839
0.171 0.039 -0.928
0.195 0.039 -0.994
0.220 0.039 -1.038
0.244 0.039 -1.056
0.268 0.039 -1.050
0.293 0.039 -1.020
0.317 0.039 -0.965
0.341 0.039 -0.888
0.366 0.039 -0.790
0.390 0.039 -0.673
0.415 0.039 -0.540
0.439 0.039 -0.395
0.463 0.039 -0.241
0.488 0.039 -0.081
0.512 0.039 0.081
0.537 0.039 0.241
0.561 0.039 0.395
0.585 0.039 0.540
0.610 0.039 0.673
0.634 0.039 0.790
0.659 0.039 0.888
0.683 0.039 0.965
0.707 0.039 1.020
0.732 0.039 1.050
0.756 0.039 1.056
0.780 0.039 1.038
0.805 0.039 0.994
0.829 0.039 0.928
0.854 0.039 0.839
0.878 0.039 0.730
0.902 0.039 0.603
0.927 0.039 0.460
0.951 0.039 0.305
0.976 0.039 0.145
0.024 0.059 -0.128
0.049 0.059 -0.257
0.073 0.059 -0.382
0.098 0.059 -0.498
0.122 0.059 -0.603
0.146 0.059 -0.693
0.171 0.059 -0.766
0.195 0.059 -0.822
0.220 0.059 -0.858
0.244 0.059 -0.873
0.268 0.059 -0.868
0.293 0.059 -0.843
0.317 0.059 -0.798
0.341 0.059 -0.734
0.366 0.059 -0.653
0.390 0.059 -0.556
0.415 0.059 -0.447
0.439 0.059 -0.327
0.463 0.059 -0.199
0.488 0.059 -0.067
0.512 0.059 0.067
0.537 0.059 0.199
0.561 0.059 0.327
0.585 0.059 0.447
0.610 0.059 0.556
0.634 0.059 0.653
0.659 0.059 0.734
0.683 0.059 0.798
0.707 0.059 0.843
0.732 0.059 0.868
0.756 0.059 0.873
0.780 0.059 0.858
0.805 0.059 0.822
0.829 0.059 0.766
0.854 0.059 0.693
0.878 0.059 0.603
0.902 0.059 0.498
0.927 0.059 0.382
0.951 0.059 0.257
0.976 0.059 0.128
0.024 0.078 -0.108
0.049 0.078 -0.214
0.073 0.078 -0.317
0.098 0.078 -0.413
0.122 0.078 -0.499
0.146 0.078 -0.573
0.171 0.078 -0.633
0.195 0.078 -0.679
0.220 0.078 -0.709
0.244 0.078 -0.722
0.268 0.078 -0.718
0.293 0.078 -0.697
0.317 0.078 -0.659
0.341 0.078 -0.607
0.366 0.078 -0.540
0.390 0.078 -0.460
0.415 0.078 -0.369
0.439 0.078 -0.270
0.463 0.078 -0.165
0.488 0.078 -0.055
0.512 0.078 0.055
0.537 0.078 0.165
0.561 0.078 0.270
0.585 0.078 0.369
0.610 0.078 0.460
0.634 0.078 0.540
0.659 0.078 0.607
0.683 0.078 0.659
0.707 0.078 0.697
0.732 0.078 0.718
0.756 0.078 0.722
0.780 0.078 0.709
0.805 0.078 0.679
0.829 0.078 0.633
0.854 0.078 0.573
0.878 0.078 0.499
0.902 0.078 0.413
0.927 0.078 0.317
0.951 0.078 0.214
0.976 0.078 0.108
0.024 0.098 -0.090
0.049 0.098 -0.178
0.073 0.098 -0.263
0.098 0.098 -0.342
0.122 0.098 -0.412
0.146 0.098 -0.474
0.171 0.098 -0.524
0.195 0.098 -0.561
0.220 0.098 -0.586
0.244 0.098 -0.597
0.268 0.098 -0.593
0.293 0.098 -0.576
0.317 0.098 -0.545
0.341 0.098 -0.501
0.366 0.098 -0.446
0.390 0.098 -0.380
0.415 0.098 -0.305
0.439 0.098 -0.223
0.463 0.098 -0.136
0.488 0.098 -0.046
0.512 0.098 0.046
0.537 0.098 0.136
0.561 0.098 0.223
0.585 0.098 0.305
0.610 0.098 0.380
0.634 0.098 0.446
0.659 0.098 0.501
0.683 0.098 0.545
0.707 0.098 0.576
0.732 0.098 0.593
0.756 0.098 0.597
0.780 0.098 0.586
0.805 0.098 0.561
0.829 0.098 0.524
0.854 0.098 0.474
0.878 0.098 0.412
0.902 0.098 0.342
0.927 0.098 0.263
0.951 0.098 0.178
0.976 0.098 0.090
0.024 0.118 -0.075
0.049 0.118 -0.148
0.073 0.118 -0.218
0.098 0.118 -0.283
0.122 0.118 -0.341
0.146 0.118 -0.392
0.171 0.118 -0.433
0.195 0.118 -0.464
0.220 0.118 -0.484
0.244 0.118 -0.493
0.268 0.118 -0.490
0.293 0.118 -0.476
0.317 0.118 -0.451
0.341 0.118 -0.415
0.366 0.118 -0.369
0.390 0.118 -0.314
0.415 0.118 -0.252
0.439 0.118 -0.185
0.463 0.118 -0.113
0.488 0.118 -0.038
0.512 0.118 0.038
0.537 0.118 0.113
0.561 0.118 0.185
0.585 0.118 0.252
0.610 0.118 0.314
0.634 0.118 0.369
0.659 0.118 0.415
0.683 0.118 0.451
0.707 0.118 0.476
0.732 0.118 0.490
0.756 0.118 0.493
0.780 0.118 0.484
0.805 0.118 0.464
0.829 0.118 0.433
0.854 0.118 0.392
0.878 0.118 0.341
0.902 0.118 0.283
0.927 0.118 0.218
0.951 0.118 0.148
0.976 0.118 0.075
0.024 0.137 -0.062
0.049 0.137 -0.122
0.073 0.137 -0.180
0.098 0.137 -0.234
0.122 0.137 -0.282
0.146 0.137 -0.324
0.171 0.137 -0.358
0.195 0.137 -0.384
0.220 0.137 -0.400
0.244 0.137 -0.408
0.268 0.137 -0.405
0.293 0.137 -0.394
0.317 0.137 -0.373
0.341 0.137 -0.343
0.366 0.137 -0.305
0.390 0.137 -0.260
0.415 0.137 -0.209
0.439 0.137 -0.153
0.463 0.137 -0.093
0.488 0.137 -0.031
0.512 0.137 0.031
0.537 0.137 0.093
0.561 0.137 0.153
0.585 0.137 0.209
0.610 0.137 0.260
0.634 0.137 0.305
0.659 0.137 0.343
0.683 0.137 0.373
0.707 0.137 0.394
0.732 0.137 0.405
0.756 0.137 0.408
0.780 0.137 0.400
0.805 0.137 0.384
0.829 0.137 0.358
0.854 0.137 0.324
0.878 0.137 0.282
0.902 0.137 0.234
0.927 0.137 0.180
0.951 0.137 0.122
0.976 0.137 0.062
0.024 0.157 -0.051
0.049 0.157 -0.101
0.073 0.157 -0.149
0.098 0.157 -0.194
0.122 0.157 -0.233
0.146 0.157 -0.268
0.171 0.157 -0.296
0.195 0.157 -0.317
0.220 0.157 -0.331
0.244 0.157 -0.337
0.268 0.157 -0.335
0.293 0.157 -0.325
0.317 0.157 -0.308
0.341 0.157 -0.283
0.366 0.157 -0.252
0.390 0.157 -0.215
0.415 0.157 -0.173
0.439 0.157 -0.126
0.463 0.157 -0.077
0.488 0.157 -0.026
0.512 0.157 0.026
0.537 0.157 0.077
0.561 0.157 0.126
0.585 0.157 0.173
0.610 0.157 0.215
0.634 0.157 0.252
0.659 0.157 0.283
0.683 0.157 0.308
0.707 0.157 0.325
0.732 0.157 0.335
0.756 0.157 0.337
0.780 0.157 0.331
0.805 0.157 0.317
0.829 0.157 0.296
0.854 0.157 0.268
0.878 0.157 0.233
0.902 0.157 0.194
0.927 0.157 0.149
0.951 0.157 0.101
0.976 0.157 0.051
0.024 0.176 -0.042
0.049 0.176 -0.084
0.073 0.176 -0.123
0.098 0.176 -0.160
0.122 0.176 -0.193
0.146 0.176 -0.222
0.171 0.176 -0.245
0.195 0.176 -0.262
0.220 0.176 -0.274
0.244 0.176 -0.279
0.268 0.176 -0.277
0.293 0.176 -0.269
0.317 0.176 -0.255
0.341 0.176 -0.234
0.366 0.176 -0.208
0.390 0.176 -0.178
0.415 0.176 -0.143
0.439 0.176 -0.104
0.463 0.176 -0.064
0.488 0.176 -0.021
0.512 0.176 0.021
0.537 0.176 0.064
0.561 0.176 0.104
0.585 0.176 0.143
0.610 0.176 0.178
0.634 0.176 0.208
0.659 0.176 0.234
0.683 0.176 0.255
0.707 0.176 0.269
0.732 0.176 0.277
0.756 0.176 0.279
0.780 0.176 0.274
0.805 0.176 0.262
0.829 0.176 0.245
0.854 0.176 0.222
0.878 0.176 0.193
0.902 0.176 0.160
0.927 0.176 0.123
0.951 0.176 0.084
0.976 0.176 0.042
0.024 0.196 -0.035
0.049 0.196 -0.069
0.073 0.196 -0.102
0.098 0.196 -0.132
0.122 0.196 -0.160
0.146 0.196 -0.183
0.171 0.196 -0.202
0.195 0.196 -0.217
0.220 0.196 -0.226
0.244 0.196 -0.230
0.268 0.196 -0.229
0.293 0.196 -0.222
0.317 0.196 -0.210
0.341 0.196 -0.194
0.366 0.196 -0.172
0.390 0.196 -0.147
0.415 0.196 -0.118
0.439 0.196 -0.086
0.463 0.196 -0.053
0.488 0.196 -0.018
0.512 0.196 0.018
0.537 0.196 0.053
0.561 0.196 0.086
0.585 0.196 0.118
0.610 0.196 0.147
0.634 0.196 0.172
0.659 0.196 0.194
0.683 0.196 0.210
0.707 0.196 0.222
0.732 0.196 0.229
0.756 0.196 0.230
0.780 0.196 0.226
0.805 0.196 0.217
0.829 0.196 0.202
0.854 0.196 0.183
0.878 0.196 0.160
0.902 0.196 0.132
0.927 0.196 0.102
0.951 0.196 0.069
0.976 0.196 0.035
0.024 0.216 -0.029
0.049 0.216 -0.057
0.073 0.216 -0.084
0.098 0.216 -0.110
0.122 0.216 -0.132
0.146 0.216 -0.151
0.171 0.216 -0.167
0.195 0.216 -0.179
0.220 0.216 -0.187
0.244 0.216 -0.190
0.268 0.216 -0.189
0.293 0.216 -0.184
0.317 0.216 -0.174
0.341 0.216 -0.160
0.366 0.216 -0.142
0.390 0.216 -0.121
0.415 0.216 -0.097
0.439 0.216 -0.071
0.463 0.216 -0.043
0.488 0.216 -0.015
0.512 0.216 0.015
0.537 0.216 0.043
0.561 0.216 0.071
0.585 0.216 0.097
0.610 0.216 0.121
0.634 0.216 0.142
0.659 0.216 0.160
0.683 0.216 0.174
0.707 0.216 0.184
0.732 0.216 0.189
0.756 0.216 0.190
0.780 0.216 0.187
0.805 0.216 0.179
0.829 0.216 0.167
0.854 0.216 0.151
0.878 0.216 0.132
0.902 0.216 0.110
0.927 0.216 0.084
0.951 0.216 0.057
0.976 0.216 0.029
0.024 0.235 -0.024
0.049 0.235 -0.048
0.073 0.235 -0.070
0.098 0.235 -0.091
0.122 0.235 -0.109
0.146 0.235 -0.125
0.171 0.235 -0.138
0.195 0.235 -0.148
0.220 0.235 -0.155
0.244 0.235 -0.158
0.268 0.235 -0.157
0.293 0.235 -0.152
0.317 0.235 -0.144
0.341 0.235 -0.132
0.366 0.235 -0.118
0.390 0.235 -0.100
0.415 0.235 -0.081
0.439 0.235 -0.059
0.463 0.235 -0.036
0.488 0.235 -0.012
0.512 0.235 0.012
0.537 0.235 0.036
0.561 0.235 0.059
0.585 0.235 0.081
0.610 0.235 0.100
0.634 0.235 0.118
0.659 0.235 0.132
0.683 0.235 0.144
0.707 0.235 0.152
0.732 0.235 0.157
0.756 0.235 0.158
0.780 0.235 0.155
0.805 0.235 0.148
0.829 0.235 0.138
0.854 0.235 0.125
0.878 0.235 0.109
0.902 0.235 0.091
0.927 0.235 0.070
0.951 0.235 0.048
0.976 0.235 0.024
0.024 0.255 -0.020
0.049 0.255 -0.039
0.073 0.255 -0.058
0.098 0.255 -0.075
0.122 0.255 -0.090
0.146 0.255 -0.104
0.171 0.255 -0.114
0.195 0.255 -0.123
0.220 0.255 -0.128
0.244 0.255 -0.130
0.268 0.255 -0.129
0.293 0.255 -0.126
0.317 0.255 -0.119
0.341 0.255 -0.109
0.366 0.255 -0.097
0.390 0.255 -0.083
0.415 0.255 -0.067
0.439 0.255 -0.049
0.463 0.255 -0.030
0.488 0.255 -0.010
0.512 0.255 0.010
0.537 0.255 0.030
0.561 0.255 0.049
0.585 0.255 0.067
0.610 0.255 0.083
0.634 0.255 0.097
0.659 0.255 0.109
0.683 0.255 0.119
0.707 0.255 0.126
0.732 0.255 0.129
0.756 0.255 0.130
0.780 0.255 0.128
0.805 0.255 0.123
0.829 0.255 0.114
0.854 0.255 0.104
0.878 0.255 0.090
0.902 0.255 0.075
0.927 0.255 0.058
0.951 0.255 0.039
0.976 0.255 0.020
0.024 0.275 -0.016
0.049 0.275 -0.032
0.073 0.275 -0.048
0.098 0.275 -0.062
0.122 0.275 -0.075
0.146 0.275 -0.086
0.171 0.275 -0.095
0.195 0.275 -0.101
0.220 0.275 -0.106
0.244 0.275 -0.108
0.268 0.275 -0.107
0.293 0.275 -0.104
0.317 0.275 -0.098
0.341 0.275 -0.090
0.366 0.275 -0.080
0.390 0.275 -0.069
0.415 0.275 -0.055
0.439 0.275 -0.040
0.463 0.275 -0.025
0.488 0.275 -0.008
0.512 0.275 0.008
0.537 0.275 0.025
0.561 0.275 0.040
0.585 0.275 0.055
0.610 0.275 0.069
0.634 0.275 0.080
0.659 0.275 0.090
0.683 0.275 0.098
0.707 0.275 0.104
0.732 0.275 0.107
0.756 0.275 0.108
0.780 0.275 0.106
0.805 0.275 0.101
0.829 0.275 0.095
0.854 0.275 0.086
0.878 0.275 0.075
0.902 0.275 0.062
0.927 0.275 0.048
0.951 0.275 0.032
0.976 0.275 0.016
0.024 0.294 -0.014
0.049 0.294 -0.027
0.073 0.294 -0.040
0.098 0.294 -0.051
0.122 0.294 -0.062
0.146 0.294 -0.071
0.171 0.294 -0.078
0.195 0.294 -0.084
0.220 0.294 -0.087
0.244 0.294 -0.089
0.268 0.294 -0.089
0.293 0.294 -0.086
0.317 0.294 -0.081
0.341 0.294 -0.075
0.366 0.294 -0.067
0.390 0.294 -0.057
0.415 0.294 -0.046
0.439 0.294 -0.033
0.463 0.294 -0.020
0.488 0.294 -0.007
0.512 0.294 0.007
0.537 0.294 0.020
0.561 0.294 0.033
0.585 0.294 0.046
0.610 0.294 0.057
0.634 0.294 0.067
0.659 0.294 0.075
0.683 0.294 0.081
0.707 0.294 0.086
0.732 0.294 0.089
0.756 0.294 0.089
0.780 0.294 0.087
0.805 0.294 0.084
0.829 0.294 0.078
0.854 0.294 0.071
0.878 0.294 0.062
