x t U
-1.000000000000000000e+00 0.000000000000000000e+00 -1.224646799147353207e-16
-8.947368421052631637e-01 0.000000000000000000e+00 -3.246994692046836217e-01
-7.894736842105263275e-01 0.000000000000000000e+00 -6.142127126896679279e-01
-6.842105263157894912e-01 0.000000000000000000e+00 -8.371664782625286572e-01
-5.789473684210526550e-01 0.000000000000000000e+00 -9.694002659393303745e-01
-4.736842105263158187e-01 0.000000000000000000e+00 -9.965844930066698470e-01
-3.684210526315789824e-01 0.000000000000000000e+00 -9.157733266550575069e-01
-2.631578947368421462e-01 0.000000000000000000e+00 -7.357239106731316980e-01
-1.578947368421053099e-01 0.000000000000000000e+00 -4.759473930370736183e-01
-5.263157894736847364e-02 0.000000000000000000e+00 -1.645945902807340600e-01
5.263157894736836262e-02 0.000000000000000000e+00 1.645945902807337269e-01
1.578947368421053099e-01 0.000000000000000000e+00 4.759473930370736183e-01
2.631578947368420351e-01 0.000000000000000000e+00 7.357239106731314759e-01
3.684210526315787604e-01 0.000000000000000000e+00 9.157733266550571738e-01
4.736842105263157077e-01 0.000000000000000000e+00 9.965844930066698470e-01
5.789473684210526550e-01 0.000000000000000000e+00 9.694002659393303745e-01
6.842105263157893802e-01 0.000000000000000000e+00 8.371664782625286572e-01
7.894736842105261054e-01 0.000000000000000000e+00 6.142127126896683720e-01
8.947368421052630527e-01 0.000000000000000000e+00 3.246994692046840658e-01
1.000000000000000000e+00 0.000000000000000000e+00 1.224646799147353207e-16
-1.000000000000000000e+00 2.506265664160400863e-02 6.721435321423374631e-02
-8.947368421052631637e-01 2.506265664160400863e-02 -4.140622111599845945e-01
-7.894736842105263275e-01 2.506265664160400863e-02 -6.626401609679678506e-01
-6.842105263157894912e-01 2.506265664160400863e-02 -8.918934408488343735e-01
-5.789473684210526550e-01 2.506265664160400863e-02 -9.231100711592162833e-01
-4.736842105263158187e-01 2.506265664160400863e-02 -9.431561997335106140e-01
-3.684210526315789824e-01 2.506265664160400863e-02 -8.350108016012391943e-01
-2.631578947368421462e-01 2.506265664160400863e-02 -6.980426622490292221e-01
-1.578947368421053099e-01 2.506265664160400863e-02 -5.981072364458946966e-01
-5.263157894736847364e-02 2.506265664160400863e-02 -3.090472542158322344e-01
5.263157894736836262e-02 2.506265664160400863e-02 2.139863086601110145e-02
1.578947368421053099e-01 2.506265664160400863e-02 3.162393155016701707e-01
2.631578947368420351e-01 2.506265664160400863e-02 4.778906958387530435e-01
3.684210526315787604e-01 2.506265664160400863e-02 6.983089610653384627e-01
4.736842105263157077e-01 2.506265664160400863e-02 9.068409608715057857e-01
5.789473684210526550e-01 2.506265664160400863e-02 9.176386078170412075e-01
6.842105263157893802e-01 2.506265664160400863e-02 9.913368167518681329e-01
7.894736842105261054e-01 2.506265664160400863e-02 8.077907137390208936e-01
8.947368421052630527e-01 2.506265664160400863e-02 6.376220557385647858e-01
1.000000000000000000e+00 2.506265664160400863e-02 4.327889269775030412e-01
-1.000000000000000000e+00 5.012531328320801727e-02 1.529563967676335068e-01
-8.947368421052631637e-01 5.012531328320801727e-02 -1.326678919548142932e-01
-7.894736842105263275e-01 5.012531328320801727e-02 -3.574006366538194923e-01
-6.842105263157894912e-01 5.012531328320801727e-02 -5.613631944772923266e-01
-5.789473684210526550e-01 5.012531328320801727e-02 -7.738934566162067874e-01
-4.736842105263158187e-01 5.012531328320801727e-02 -9.278857079084890103e-01
-3.684210526315789824e-01 5.012531328320801727e-02 -1.010516247814845281e+00
-2.631578947368421462e-01 5.012531328320801727e-02 -1.005687430006554806e+00
-1.578947368421053099e-01 5.012531328320801727e-02 -7.954104908905511584e-01
-5.263157894736847364e-02 5.012531328320801727e-02 -4.058927246207083561e-01
5.263157894736836262e-02 5.012531328320801727e-02 -1.140894651273463706e-01
1.578947368421053099e-01 5.012531328320801727e-02 8.337606715084604214e-02
2.631578947368420351e-01 5.012531328320801727e-02 4.271611230456713315e-01
3.684210526315787604e-01 5.012531328320801727e-02 7.588140707839912125e-01
4.736842105263157077e-01 5.012531328320801727e-02 8.996597862192019512e-01
5.789473684210526550e-01 5.012531328320801727e-02 1.000356497470504813e+00
6.842105263157893802e-01 5.012531328320801727e-02 9.898204228457956333e-01
7.894736842105261054e-01 5.012531328320801727e-02 7.801251137477046571e-01
8.947368421052630527e-01 5.012531328320801727e-02 6.651478113310842488e-01
1.000000000000000000e+00 5.012531328320801727e-02 3.273899567081944295e-01
-1.000000000000000000e+00 7.518796992481202590e-02 4.385409603992986849e-01
-8.947368421052631637e-01 7.518796992481202590e-02 -4.268957738512639544e-02
-7.894736842105263275e-01 7.518796992481202590e-02 -3.027202796039906163e-01
-6.842105263157894912e-01 7.518796992481202590e-02 -6.287634014593753706e-01
-5.789473684210526550e-01 7.518796992481202590e-02 -8.543994539239386787e-01
-4.736842105263158187e-01 7.518796992481202590e-02 -9.707570458960681492e-01
-3.684210526315789824e-01 7.518796992481202590e-02 -9.803882286311493832e-01
-2.631578947368421462e-01 7.518796992481202590e-02 -8.570282948238310272e-01
-1.578947368421053099e-01 7.518796992481202590e-02 -6.799389572990904851e-01
-5.263157894736847364e-02 7.518796992481202590e-02 -4.846936132324315971e-01
5.263157894736836262e-02 7.518796992481202590e-02 -3.879788098785251216e-01
1.578947368421053099e-01 7.518796992481202590e-02 -6.808548492548698039e-02
2.631578947368420351e-01 7.518796992481202590e-02 2.846315056612826466e-01
3.684210526315787604e-01 7.518796992481202590e-02 4.863898691975956923e-01
4.736842105263157077e-01 7.518796992481202590e-02 7.679468007005414432e-01
5.789473684210526550e-01 7.518796992481202590e-02 8.620589831607480269e-01
6.842105263157893802e-01 7.518796992481202590e-02 9.487586530836904508e-01
7.894736842105261054e-01 7.518796992481202590e-02 8.956024677857696847e-01
8.947368421052630527e-01 7.518796992481202590e-02 8.489830525984980447e-01
1.000000000000000000e+00 7.518796992481202590e-02 7.245308544715889365e-01
-1.000000000000000000e+00 1.002506265664160345e-01 3.112752671347459588e-01
-8.947368421052631637e-01 1.002506265664160345e-01 1.126228410930185525e-01
-7.894736842105263275e-01 1.002506265664160345e-01 -5.693360870499759169e-02
-6.842105263157894912e-01 1.002506265664160345e-01 -3.348280207593118951e-01
-5.789473684210526550e-01 1.002506265664160345e-01 -5.772082094646662220e-01
-4.736842105263158187e-01 1.002506265664160345e-01 -7.529949675274171250e-01
-3.684210526315789824e-01 1.002506265664160345e-01 -9.442299768339295074e-01
-2.631578947368421462e-01 1.002506265664160345e-01 -1.012467765652719454e+00
-1.578947368421053099e-01 1.002506265664160345e-01 -9.468303674133101699e-01
-5.263157894736847364e-02 1.002506265664160345e-01 -8.021373055372383876e-01
5.263157894736836262e-02 1.002506265664160345e-01 -5.140162600666352555e-01
1.578947368421053099e-01 1.002506265664160345e-01 -1.778362499974531774e-01
2.631578947368420351e-01 1.002506265664160345e-01 1.523018882989474188e-01
