crank-nicholson-M20-N100 crank-nicholson-M20-N200 crank-nicholson-M20-N300 crank-nicholson-M30-N100 crank-nicholson-M30-N200 crank-nicholson-M30-N300 crank-nicholson-M100-N100 crank-nicholson-M100-N200 crank-nicholson-M100-N300 crank-nicholson-M200-N100 crank-nicholson-M200-N200 crank-nicholson-M200-N300 crank-nicholson-M400-N100 crank-nicholson-M400-N200 crank-nicholson-M400-N300 crank-nicholson-M800-N100 crank-nicholson-M800-N200 crank-nicholson-M800-N300
6.136090720219449235e-01 6.136090720219449235e-01 6.136090720219449235e-01 6.189682049604473546e-01 6.189682049604473546e-01 6.189682049604473546e-01 6.263939674031623328e-01 6.263939674031623328e-01 6.263939674031623328e-01 6.279737781395665630e-01 6.279737781395665630e-01 6.279737781395665630e-01 6.287621949877066907e-01 6.287621949877066907e-01 6.287621949877066907e-01 6.291560329146811403e-01 6.291560329146811403e-01 6.291560329146811403e-01
6.138215848401524788e-01 6.137978202566942709e-01 6.138287959905717184e-01 6.192627739903104889e-01 6.195077955025027894e-01 6.200369047764437980e-01 6.265302270499072401e-01 6.267451124645364580e-01 6.271611459503614316e-01 6.280437471177067188e-01 6.281575027898855801e-01 6.283750666191404433e-01 6.287973870713194913e-01 6.288550243741960477e-01 6.289649222037911880e-01 6.291736493846099565e-01 6.292025544013957195e-01 6.292576276159177473e-01
6.205854049157670804e-01 6.265952007033440685e-01 6.253602605789188029e-01 6.256894908297481184e-01 6.266596303399990520e-01 6.237145265055131782e-01 6.287111682148758263e-01 6.280807277185245230e-01 6.281824041929938707e-01 6.291391742164769152e-01 6.287957849095583418e-01 6.288870866000029203e-01 6.293454717947712940e-01 6.291703979696956495e-01 6.292209903771602830e-01 6.294476846413030735e-01 6.293597400391057750e-01 6.293856448773175183e-01
6.261626801639046391e-01 6.180200742613684017e-01 6.207280979233077423e-01 6.241074569701149377e-01 6.217672216230760718e-01 6.205554942442046418e-01 6.272463910688702571e-01 6.267842367799419945e-01 6.263947318257271357e-01 6.283781260752896447e-01 6.281486814935380858e-01 6.279737812235430816e-01 6.289616014066214955e-01 6.288471337808938522e-01 6.287621974002267633e-01 6.292553664680023973e-01 6.291981790469247660e-01 6.291560354023937318e-01
6.141974132478179582e-01 6.145810495541244034e-01 6.136091025887687733e-01 6.190498887937734285e-01 6.196949692084295913e-01 6.189688435900264629e-01 6.264839174489487128e-01 6.264172259828193479e-01 6.264333110728834697e-01 6.280199301552411573e-01 6.279797642164396398e-01 6.279961111065361923e-01 6.287853849897772074e-01 6.287646229236026896e-01 6.287735673387614410e-01 6.291676379470433345e-01 6.291571806482850748e-01 6.291617388629500152e-01
6.137736911831426223e-01 6.145023244004512719e-01 6.136110651451636144e-01 6.190055327137531371e-01 6.200750050263125202e-01 6.197929685632077579e-01 6.265679161343428172e-01 6.271471134283194138e-01 6.279877508044704459e-01 6.280711125562095098e-01 6.283733640146602628e-01 6.287472837915585311e-01 6.288121634079697486e-01 6.289648859247221058e-01 6.291456956164720449e-01 6.291811726540066374e-01 6.292577157011023381e-01 6.293473311911637058e-01
6.138970338325313580e-01 6.164683035626925545e-01 6.145684586663281435e-01 6.204803531224742930e-01 6.247178497688637977e-01 6.242105724961611868e-01 6.274294970512316327e-01 6.284826755772152662e-01 6.280200879342244802e-01 6.285115810591804797e-01 6.289464089343542730e-01 6.287071012099216816e-01 6.290333859076211453e-01 6.292388608507611947e-01 6.291175697028137392e-01 6.292918759279468865e-01 6.293930993520372441e-01 6.293322421744756978e-01
6.161950870161524429e-01 6.208772806414002421e-01 6.270363829533446287e-01 6.255982875667127630e-01 6.209757625726241015e-01 6.210979965823436588e-01 6.282116127454728804e-01 6.263960169170582626e-01 6.263940376911386609e-01 6.288493804290438138e-01 6.279748280196906229e-01 6.279745108021177469e-01 6.291955181938041486e-01 6.287627112332014878e-01 6.287626600201491334e-01 6.293720839063476902e-01 6.291562895801363631e-01 6.291562766423383080e-01
6.253931781773311993e-01 6.201312108773353593e-01 6.160731492145373744e-01 6.213439556989895918e-01 6.189748642416643687e-01 6.189771961737149386e-01 6.263981387646463395e-01 6.264376748508356796e-01 6.265090078168951138e-01 6.279804422008925524e-01 6.279879038880056275e-01 6.280996744990390290e-01 6.287662607043720264e-01 6.287682496324430437e-01 6.288354300085750026e-01 6.291581609810448228e-01 6.291589347977053492e-01 6.291939668726993506e-01
6.163016295958317903e-01 6.140567837160744169e-01 6.137350293171627280e-01 6.198496702826284954e-01 6.189724439435679848e-01 6.193805793958034878e-01 6.264242318330897064e-01 6.284887205566559443e-01 6.277567285894594118e-01 6.279809656673578377e-01 6.290134627663082068e-01 6.286894071464697031e-01 6.287650088231254708e-01 6.292792237994112581e-01 6.291261385397864947e-01 6.291573493004070095e-01 6.294140964997643195e-01 6.293387799240759417e-01
6.146938416414444717e-01 6.136266139462644986e-01 6.136284807073615344e-01 6.193499776768367493e-01 6.249404178791577724e-01 6.239712399001480225e-01 6.276462317593305418e-01 6.273960248962140440e-01 6.264603609788261807e-01 6.286427975847086458e-01 6.284389909877561298e-01 6.279784791392045706e-01 6.291016547544513449e-01 6.289894686762248499e-01 6.287632720819391619e-01 6.293263296305564580e-01 6.292689528075581240e-01 6.291564591392152517e-01
6.136146634328510929e-01 6.151603753315024736e-01 6.157362443785936446e-01 6.217057304592699118e-01 6.219434934018307493e-01 6.208986145131611956e-01 6.274571300083823244e-01 6.266005832416509103e-01 6.264715650536609726e-01 6.284861964154733194e-01 6.280923053452958094e-01 6.280310925444373416e-01 6.290156445089624127e-01 6.288222918446578769e-01 6.287925660870083977e-01 6.292823739891734158e-01 6.291861428403341394e-01 6.291713976817083775e-01
6.148696697637875408e-01 6.223928567812029300e-01 6.242601838149736126e-01 6.237358404770856346e-01 6.195527908507243442e-01 6.192120294975645978e-01 6.266862297120348035e-01 6.266232406369331986e-01 6.275469724539182170e-01 6.280852229911135787e-01 6.281181494084244754e-01 6.286105201797224096e-01 6.288139790548884500e-01 6.288379145577829288e-01 6.290823423979106099e-01 6.291814399939803515e-01 6.291943180313598338e-01 6.293161365414783326e-01
6.196704312439271778e-01 6.150018765212575955e-01 6.137001505838171056e-01 6.192455396121543387e-01 6.191686350002402195e-01 6.190124766958683411e-01 6.267187406283273310e-01 6.283595732634362774e-01 6.284051565720996102e-01 6.281311801810444129e-01 6.290774214187159208e-01 6.289241517031685103e-01 6.288398075447483304e-01 6.293251659312860680e-01 6.292193148725144791e-01 6.291946799259396927e-01 6.294387196257774653e-01 6.293819885003710812e-01
6.184901320455380436e-01 6.141216229654622438e-01 6.140431406949801163e-01 6.203881185005495347e-01 6.217898505856997993e-01 6.232742676209800381e-01 6.268115437496495357e-01 6.264310771209221640e-01 6.264044410931073337e-01 6.282624950392872165e-01 6.279773102916098582e-01 6.279769548434335213e-01 6.289171194802486431e-01 6.287631670043073440e-01 6.287636502329947419e-01 6.292348069034453539e-01 6.291564428187057523e-01 6.291567495979127900e-01
6.146464011850053533e-01 6.143315404672532454e-01 6.136608862141201826e-01 6.199560531891032955e-01 6.214488889256369886e-01 6.204299835788783524e-01 6.280048403463462936e-01 6.264999675529457912e-01 6.265029100404784224e-01 6.287435989800407299e-01 6.280497613728743822e-01 6.279784834819513994e-01 6.291416061029488915e-01 6.288025940317509832e-01 6.287623550599386046e-01 6.293449836584554813e-01 6.291765035471658107e-01 6.291560388348936828e-01
6.149917069045691687e-01 6.164427728034534981e-01 6.169113792664416840e-01 6.224040343546008991e-01 6.190089581680702224e-01 6.197891226110219254e-01 6.265479998048649746e-01 6.269221206726124374e-01 6.271755071795511727e-01 6.280250338609607574e-01 6.284001925977930059e-01 6.284176262672153124e-01 6.287850547846550731e-01 6.289953029409138807e-01 6.289982777799097979e-01 6.291671288912881188e-01 6.292749931669311403e-01 6.292760417553187047e-01
6.141310723099268065e-01 6.187447884019334765e-01 6.187091503495094624e-01 6.206143782080963955e-01 6.197657338768808311e-01 6.189781344048054246e-01 6.264500427348196343e-01 6.273261226771761345e-01 6.268289703244097621e-01 6.280087591211258591e-01 6.284131010469077294e-01 6.280382895793605869e-01 6.287803704404266725e-01 6.289789414116838673e-01 6.287835799845912232e-01 6.291651969717810822e-01 6.292640227728847346e-01 6.291655968070904992e-01
6.161304088983279303e-01 6.136363392790741278e-01 6.145127377737653607e-01 6.191288175325921905e-01 6.227335531277746750e-01 6.231131071714675063e-01 6.264159910260758135e-01 6.264034249705338064e-01 6.264432838004819759e-01 6.279744286177244561e-01 6.279856946280905072e-01 6.280490372436378088e-01 6.287622078129609937e-01 6.287735749082620229e-01 6.288096076909872600e-01 6.291560329072858337e-01 6.291625115113986810e-01 6.291810222876482728e-01
6.167319095108644289e-01 6.156334018545511766e-01 6.145781237400783636e-01 6.203399716896498273e-01 6.212754106600149040e-01 6.201658587169676107e-01 6.278802905497459230e-01 6.264288821385125550e-01 6.266939936658032506e-01 6.288014683320022336e-01 6.279738488959819565e-01 6.282335392473497038e-01 6.291846103512844790e-01 6.287623758204006208e-01 6.288981661408141743e-01 6.293682000175123692e-01 6.291561967967016500e-01 6.292245163561028809e-01
6.138037449263338274e-01 6.144565620507556059e-01 6.137040293771618416e-01 6.205603387013779448e-01 6.198013143099231348e-01 6.204571293022710377e-01 6.268441296046011191e-01 6.267017143344024710e-01 6.276384163450148268e-01 6.281168905400704716e-01 6.282898795448343954e-01 6.287207058360608780e-01 6.288247934406968609e-01 6.289451409170541130e-01 6.291378268521431449e-01 6.291862517946311684e-01 6.292506980200958111e-01 6.293435351345790796e-01
6.192197757549696702e-01 6.156800066113686798e-01 6.171881508640049141e-01 6.218506530521743514e-01 6.193146894767963540e-01 6.190588941569133974e-01 6.266186198442399435e-01 6.270490257111751564e-01 6.264504190958970486e-01 6.281024474862756390e-01 6.281262382719969839e-01 6.279965503601223631e-01 6.288278572587934212e-01 6.288220721096322574e-01 6.287715092262743388e-01 6.291889971264595927e-01 6.291841085672005285e-01 6.291604450413368355e-01
6.138078440320701157e-01 6.153377875419768772e-01 6.142367645306167079e-01 6.189683096395595108e-01 6.194238977219308495e-01 6.228473668628449200e-01 6.264367064613953762e-01 6.264549317720026211e-01 6.269823947995807334e-01 6.279806176446153243e-01 6.280300144875077262e-01 6.281289980893144387e-01 6.287643688460361480e-01 6.287945761329681860e-01 6.288171899183456759e-01 6.291569847589636444e-01 6.291727829718235521e-01 6.291808361860119492e-01
6.150651343521409409e-01 6.138982746334576968e-01 6.176434393594637529e-01 6.199353620303165169e-01 6.217440131389110336e-01 6.196502620003224715e-01 6.266316699601152118e-01 6.266324706205145256e-01 6.268418797590454838e-01 6.281573506545724550e-01 6.279918221140217138e-01 6.281997362997643330e-01 6.288623965455808484e-01 6.287650335604328955e-01 6.288804427383539730e-01 6.292071718089868870e-01 6.291569456830262697e-01 6.292160415974001886e-01
