x U
-1.000000000000000000e+00 -5.609608124133385054e-01
-9.797979797979797789e-01 -5.241425574936914300e-01
-9.595959595959595578e-01 -4.514260771352053281e-01
-9.393939393939394478e-01 -3.960302941830297629e-01
-9.191919191919192267e-01 -3.409850978416208989e-01
-8.989898989898990056e-01 -2.689020961293293044e-01
-8.787878787878787845e-01 -2.173426567976569357e-01
-8.585858585858585634e-01 -1.445471020166405884e-01
-8.383838383838383423e-01 -8.524224207496554351e-02
-8.181818181818181213e-01 -2.038709156237647133e-02
-7.979797979797980112e-01 4.617237026452365722e-02
-7.777777777777777901e-01 1.046893898794404032e-01
-7.575757575757575690e-01 1.710313912079580723e-01
-7.373737373737373479e-01 2.281930098373275984e-01
-7.171717171717171269e-01 2.882033877109135833e-01
-6.969696969696970168e-01 3.459833191487756143e-01
-6.767676767676766847e-01 3.990885761171198975e-01
-6.565656565656565746e-01 4.552335576961841768e-01
-6.363636363636363535e-01 5.049813498292250458e-01
-6.161616161616161325e-01 5.557704453541044698e-01
-5.959595959595959114e-01 6.057894585669580945e-01
-5.757575757575756903e-01 6.491813083275371765e-01
-5.555555555555555802e-01 7.001379556114601943e-01
-5.353535353535352481e-01 7.367556818022001908e-01
-5.151515151515151381e-01 7.860042765156723954e-01
-4.949494949494949170e-01 8.177965143771674938e-01
-4.747474747474746959e-01 8.611549119590375945e-01
-4.545454545454544748e-01 8.892706792143735273e-01
-4.343434343434342537e-01 9.232438178784143634e-01
-4.141414141414141437e-01 9.468248611454621599e-01
-3.939393939393939226e-01 9.698755230520822446e-01
-3.737373737373737015e-01 9.864762018679581468e-01
-3.535353535353534804e-01 9.989451118570615851e-01
-3.333333333333332593e-01 1.006077711951978593e+00
-3.131313131313130382e-01 1.009247168701575159e+00
-2.929292929292928171e-01 1.005908721426876484e+00
-2.727272727272727071e-01 1.001010089069575448e+00
-2.525252525252524860e-01 9.882223750072598456e-01
-2.323232323232322649e-01 9.759335683465856226e-01
-2.121212121212120438e-01 9.560481375411338245e-01
-1.919191919191918227e-01 9.365514492663512547e-01
-1.717171717171716017e-01 9.118276900322367373e-01
-1.515151515151514916e-01 8.851542011514877961e-01
-1.313131313131312705e-01 8.564891642453374976e-01
-1.111111111111110494e-01 8.228221058908532504e-01
-9.090909090909082835e-02 7.893551242933067869e-01
-7.070707070707060726e-02 7.491324256822259331e-01
-5.050505050505038618e-02 7.089166312376270485e-01
-3.030303030303027612e-02 6.627771351078494133e-01
-1.010101010101005503e-02 6.141194845270973035e-01
1.010101010101016605e-02 5.628258501194255414e-01
3.030303030303049816e-02 5.055524667651465354e-01
5.050505050505060822e-02 4.499693762162736421e-01
7.070707070707071829e-02 3.859299141759319762e-01
9.090909090909105039e-02 3.270267007859931629e-01
1.111111111111111605e-01 2.595625476078859961e-01
1.313131313131314926e-01 1.983613179063203613e-01
1.515151515151516026e-01 1.310133160341377112e-01
1.717171717171717127e-01 6.846639727595651981e-02
1.919191919191920448e-01 3.609695173560059124e-03
2.121212121212121549e-01 -5.949341838412192107e-02
2.323232323232324870e-01 -1.213425943308225063e-01
2.525252525252525970e-01 -1.842890719247722298e-01
2.727272727272729291e-01 -2.440963310181571422e-01
2.929292929292930392e-01 -3.059376145326148655e-01
3.131313131313131493e-01 -3.648981941256192463e-01
3.333333333333334814e-01 -4.240844910318083416e-01
3.535353535353535914e-01 -4.822241611898651636e-01
3.737373737373739235e-01 -5.365351390411656762e-01
3.939393939393940336e-01 -5.920461128946949980e-01
4.141414141414143657e-01 -6.391084783667297931e-01
4.343434343434344758e-01 -6.889245157011545384e-01
4.545454545454545858e-01 -7.272469908109525649e-01
4.747474747474749179e-01 -7.685969731418649253e-01
4.949494949494950280e-01 -7.985592996936453636e-01
5.151515151515153601e-01 -8.305148226197512917e-01
5.353535353535354702e-01 -8.544851852543654536e-01
5.555555555555555802e-01 -8.783496792848688450e-01
5.757575757575759123e-01 -8.994203384780191657e-01
5.959595959595960224e-01 -9.174672712277412989e-01
6.161616161616163545e-01 -9.372129236910282657e-01
6.363636363636364646e-01 -9.505117678902872402e-01
6.565656565656567967e-01 -9.671987134545559917e-01
6.767676767676769067e-01 -9.742650539129665832e-01
6.969696969696970168e-01 -9.832169989835203294e-01
7.171717171717173489e-01 -9.810360584011637020e-01
7.373737373737374590e-01 -9.777271748115972105e-01
7.575757575757577911e-01 -9.649613271799455383e-01
7.777777777777779011e-01 -9.491058349570369312e-01
7.979797979797982332e-01 -9.288778851356661592e-01
8.181818181818183433e-01 -9.058504218586610479e-01
8.383838383838384534e-01 -8.844689713821188848e-01
8.585858585858587855e-01 -8.610617936305579034e-01
8.787878787878788955e-01 -8.415173916919462815e-01
8.989898989898992276e-01 -8.175427467538692872e-01
9.191919191919193377e-01 -7.925632781269766891e-01
9.393939393939394478e-01 -7.561637470196908017e-01
9.595959595959597799e-01 -7.112285833746898600e-01
9.797979797979798899e-01 -6.478366895400307079e-01
1.000000000000000000e+00 -5.827797922528858976e-01
