x U
-1.000000000000000000e+00 2.565985252480294521e-01
-8.947368421052631637e-01 4.400896324927904002e-02
-7.894736842105263275e-01 -3.040853434523011489e-01
-6.842105263157894912e-01 -6.718855389789771815e-01
-5.789473684210526550e-01 -8.851613385688413826e-01
-4.736842105263158187e-01 -1.034348163282149402e+00
-3.684210526315789824e-01 -1.116160826196730183e+00
-2.631578947368421462e-01 -8.918404120453815587e-01
-1.578947368421053099e-01 -5.932205143405445691e-01
-5.263157894736847364e-02 -4.345547811607388122e-01
5.263157894736836262e-02 -2.563843046198524545e-01
1.578947368421053099e-01 1.715554190835655024e-01
2.631578947368420351e-01 5.907432436364511430e-01
3.684210526315787604e-01 7.094920035118339463e-01
4.736842105263157077e-01 8.249446947011659370e-01
5.789473684210526550e-01 9.178796503560598952e-01
6.842105263157893802e-01 9.210157831614134150e-01
7.894736842105261054e-01 8.645610667517041881e-01
8.947368421052630527e-01 6.451453235377411222e-01
1.000000000000000000e+00 2.416965494081500521e-01
