x U E refE
-1.000000000000000000e+00 3.720075976020836120e-44 8.849417517075693476e-28 1.888246007686830430e-01
-8.947368421052631637e-01 3.657750943767779399e-16 6.194592261944096761e-27 1.888246007686830430e-01
-7.894736842105263275e-01 7.315501887527012477e-16 1.681381664881371557e-26 1.888246007686830430e-01
-6.842105263157894912e-01 1.097320619088023089e-15 6.077176870569550611e-27 1.888246007686830430e-01
-5.789473684210526550e-01 -1.312232940949887423e-15 1.322023439719468347e-16 1.888246007686830430e-01
-4.736842105263158187e-01 -1.800685891671029024e-10 5.718381497461171271e-09 1.888246007686830430e-01
-3.684210526315789824e-01 -1.273925851377233386e-06 2.611697683450992912e-03 1.888246007686830430e-01
-2.631578947368421462e-01 -9.826989351081369221e-04 4.204822364404217638e-02 1.888246007686830430e-01
-2.105263157894737280e-01 -1.188910357880518243e-02 9.999999999999737987e-01 1.888246007686830430e-01
-1.578947368421053099e-01 -8.265542718143203960e-02 1.211187909530247186e-01 1.888246007686830430e-01
-1.315789473684211008e-01 -1.770537466594984954e-01 1.529544233082000271e-01 1.888246007686830430e-01
-1.052631578947368918e-01 -3.302077619371542316e-01 3.783077260416416454e-01 1.888246007686830430e-01
-5.263157894736847364e-02 -7.580481975148206653e-01 2.726483771098801023e-01 1.888246007686830430e-01
-2.631578947368426458e-02 -9.330914390145721438e-01 7.005576350985196488e-01 1.888246007686830430e-01
-5.551115123125782702e-17 -9.999999999999966693e-01 7.005576350985147638e-01 1.888246007686830430e-01
2.631578947368415355e-02 -9.330914390145728099e-01 2.726483771098791586e-01 1.888246007686830430e-01
5.263157894736836262e-02 -7.580481975148215534e-01 3.783077260416410903e-01 1.888246007686830430e-01
1.052631578947368363e-01 -3.302077619371547312e-01 1.529544233082054394e-01 1.888246007686830430e-01
1.315789473684210731e-01 -1.770537466594987452e-01 1.211187909530308665e-01 1.888246007686830430e-01
1.578947368421053099e-01 -8.265542718143220613e-02 1.000000000000000000e+00 1.888246007686830430e-01
2.105263157894736725e-01 -1.188910357880535937e-02 4.204822364404759566e-02 1.888246007686830430e-01
2.631578947368420351e-01 -9.826989351082822052e-04 2.611697683452712457e-03 1.888246007686830430e-01
3.684210526315787604e-01 -1.273925851496743171e-06 5.718381499576808938e-09 1.888246007686830430e-01
4.736842105263157077e-01 -1.800686887411598229e-10 1.322026075269623116e-16 1.888246007686830430e-01
5.789473684210526550e-01 -1.391892184974771857e-15 5.934765801461842070e-27 1.888246007686830430e-01
6.842105263157893802e-01 1.037576186069360601e-15 1.503278053134133669e-26 1.888246007686830430e-01
7.894736842105261054e-01 6.917205667402600165e-16 5.538419523584339840e-27 1.888246007686830430e-01
8.947368421052630527e-01 3.458602833705573243e-16 7.912027890846792451e-28 1.888246007686830430e-01
1.000000000000000000e+00 3.720075976020836120e-44 0.000000000000000000e+00 1.888246007686830430e-01
