x U E refE
-1.000000000000000000e+00 3.720075976020836120e-44 3.934957328124642188e-16 1.045845515950389187e-01
-8.947368421052631637e-01 1.180434380797329065e-16 1.041091850989217754e-15 1.045845515950389187e-01
-7.894736842105263275e-01 2.360868761603204452e-16 1.715220245911081934e-15 1.045845515950389187e-01
-6.842105263157894912e-01 3.541349782815092529e-16 9.832466249530520565e-15 1.045845515950389187e-01
-5.789473684210526550e-01 3.247507070775938894e-15 4.712865653653827723e-10 1.045845515950389187e-01
-4.736842105263158187e-01 1.800710082597647415e-10 3.099499209911765452e-06 1.045845515950389187e-01
-3.684210526315789824e-01 1.273925854280143198e-06 2.094673879693848169e-03 1.045845515950389187e-01
-2.631578947368421462e-01 9.826989351115228855e-04 1.306718062743573439e-01 1.045845515950389187e-01
-1.578947368421053099e-01 8.265542718143584211e-02 3.708195513429855539e-01 1.045845515950389187e-01
-5.263157894736847364e-02 7.580481975148248841e-01 1.000000000000000000e+00 1.045845515950389187e-01
5.263157894736836262e-02 7.580481975148256613e-01 3.708195513429857204e-01 1.045845515950389187e-01
1.578947368421053099e-01 8.265542718143577272e-02 1.306718062743568165e-01 1.045845515950389187e-01
2.631578947368420351e-01 9.826989351114621702e-04 2.094673879693534184e-03 1.045845515950389187e-01
3.684210526315787604e-01 1.273925854223156304e-06 3.099499209638295359e-06 1.045845515950389187e-01
4.736842105263157077e-01 1.800709607533552760e-10 4.712863412432727934e-10 1.045845515950389187e-01
5.789473684210526550e-01 3.209501941459906454e-15 9.650204225204642088e-15 1.045845515950389187e-01
6.842105263157893802e-01 3.256311312944899520e-16 1.577163637262739147e-15 1.045845515950389187e-01
7.894736842105261054e-01 2.170843115023077505e-16 9.572946677864300391e-16 1.045845515950389187e-01
8.947368421052630527e-01 1.085421557507265715e-16 3.618233746235653521e-16 1.045845515950389187e-01
1.000000000000000000e+00 3.720075976020836120e-44 0.000000000000000000e+00 1.045845515950389187e-01
