x U E
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.571428571428571230e-02 1.275510204081508085e-03 9.999999999995121680e-01
7.142857142857142461e-02 5.102040816326281272e-03 9.999999999990247801e-01
1.071428571428571369e-01 1.147959183673431978e-02 9.999999999985332844e-01
1.428571428571428492e-01 2.040816326530562122e-02 9.999999999980475618e-01
1.785714285714285476e-01 3.188775510204018560e-02 9.999999999975546228e-01
2.142857142857142738e-01 4.591836734693802158e-02 9.999999999970611286e-01
2.500000000000000000e-01 6.249999999999912570e-02 9.999999999965711872e-01
2.857142857142856984e-01 8.163265306122348408e-02 9.999999999960927921e-01
3.214285714285713969e-01 1.033163265306111106e-01 9.999999999956254992e-01
3.571428571428570953e-01 1.275510204081619914e-01 9.999999999951949547e-01
3.928571428571428492e-01 1.543367346938762097e-01 9.999999999948537832e-01
4.285714285714285476e-01 1.836734693877536684e-01 9.999999999944959583e-01
4.642857142857142461e-01 2.155612244897943675e-01 9.999999999941893147e-01
5.000000000000000000e-01 2.499999999999984179e-01 9.999999999940112350e-01
5.357142857142856984e-01 2.869897959183657088e-01 9.999999999937900785e-01
5.714285714285713969e-01 3.265306122448962678e-01 9.999999999935318407e-01
6.071428571428570953e-01 3.686224489795900117e-01 9.999999999931362682e-01
6.428571428571427937e-01 4.132653061224470514e-01 9.999999999930334615e-01
6.785714285714284921e-01 4.604591836734674426e-01 9.999999999930035965e-01
7.142857142857141906e-01 5.102040816326510742e-01 9.999999999931826755e-01
7.500000000000000000e-01 5.624999999999982236e-01 9.999999999936651784e-01
7.857142857142856984e-01 6.173469387755086135e-01 9.999999999943194329e-01
8.214285714285713969e-01 6.747448979591821328e-01 9.999999999946362905e-01
8.571428571428570953e-01 7.346938775510190034e-01 9.999999999953417262e-01
8.928571428571427937e-01 7.971938775510191144e-01 9.999999999961954877e-01
9.285714285714284921e-01 8.622448979591826879e-01 9.999999999975398568e-01
9.642857142857141906e-01 9.298469387755095017e-01 9.999999999992653654e-01
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
