x U E refE
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00
7.142857142857142461e-02 1.721251828804632733e-01 1.134840215545647735e-01 -1.000000000000000000e+00
1.428571428571428492e-01 2.732501884939403380e-01 5.665899992645268696e-02 -1.000000000000000000e+00
2.142857142857142738e-01 3.580691561110073695e-01 3.628754776738688653e-02 -1.000000000000000000e+00
2.857142857142856984e-01 4.337770122542840556e-01 2.610032659334329472e-02 -1.000000000000000000e+00
3.571428571428570953e-01 5.033592097923340614e-01 2.007761162426763279e-02 -1.000000000000000000e+00
4.285714285714285476e-01 5.684196141456929752e-01 1.613055051187995900e-02 -1.000000000000000000e+00
5.000000000000000000e-01 6.299455363378687611e-01 1.335462699020037100e-02 -1.000000000000000000e+00
5.714285714285713969e-01 6.885992280990075320e-01 1.129862938169006945e-02 -1.000000000000000000e+00
6.428571428571427937e-01 7.448521463259762942e-01 9.713991465134222750e-03 -1.000000000000000000e+00
7.142857142857141906e-01 7.990549651383871410e-01 8.453296060992048985e-03 -1.000000000000000000e+00
7.857142857142856984e-01 8.514774612587633351e-01 7.423974707216123188e-03 -1.000000000000000000e+00
8.571428571428570953e-01 9.023328029196059363e-01 6.565191860548697141e-03 -1.000000000000000000e+00
9.285714285714284921e-01 9.517931335954172845e-01 5.835455695944882261e-03 -1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
