M1 E1 M2 E2 M3 E3
0.000000000000000000e+00 1.825741858350553581e-01 0.000000000000000000e+00 1.825741858350553581e-01 0.000000000000000000e+00 1.825741858350553581e-01
1.000000000000000000e+00 4.564354645876384647e-02 1.000000000000000000e+00 4.564354645876384647e-02 1.000000000000000000e+00 4.564354645876384647e-02
3.000000000000000000e+00 1.141088661469090611e-02 3.000000000000000000e+00 1.141088661469090611e-02 3.000000000000000000e+00 1.141088661469090611e-02
7.000000000000000000e+00 2.852721653672790712e-03 7.000000000000000000e+00 2.852721653672790712e-03 7.000000000000000000e+00 2.852721653672790712e-03
1.500000000000000000e+01 7.131804134181944253e-04 1.500000000000000000e+01 7.131804134181944253e-04 1.500000000000000000e+01 7.131804134181944253e-04
3.100000000000000000e+01 1.782951033537788770e-04 3.100000000000000000e+01 1.782951033537788770e-04 3.100000000000000000e+01 1.782951033537788770e-04
6.300000000000000000e+01 4.457377583869355720e-05 6.300000000000000000e+01 4.457377583869355720e-05 6.300000000000000000e+01 4.457377583869355720e-05
1.270000000000000000e+02 1.114344395679362466e-05 1.270000000000000000e+02 1.114344395679362466e-05 1.270000000000000000e+02 1.114344395679362466e-05
2.550000000000000000e+02 2.785861000677414031e-06 2.550000000000000000e+02 2.785861000677414031e-06 2.550000000000000000e+02 2.785861000677414031e-06
5.110000000000000000e+02 6.964652427222843047e-07 5.110000000000000000e+02 6.964652427222843047e-07 5.110000000000000000e+02 6.964652427222843047e-07
1.023000000000000000e+03 1.741163331531686096e-07 1.023000000000000000e+03 1.741163331531686096e-07 1.023000000000000000e+03 1.741163331531686096e-07
2.047000000000000000e+03 4.352924212746144835e-08 2.047000000000000000e+03 4.352924212746144835e-08 2.047000000000000000e+03 4.352924212746144835e-08
